,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,Lee2019_ERP,PSD+SVM,1,session_1,0.1,0.17,0.19999999999999998,0.03119537369376183,10800,1
1,Single Session,Open Set,Lee2019_ERP,PSD+SVM,1,session_2,0.14,0.32999999999999996,0.46,0.04390416300090098,10800,1
2,Single Session,Open Set,Lee2019_ERP,PSD+SVM,2,session_1,0.07999999999999999,0.29,0.5,0.031154722866512063,10800,1
3,Single Session,Open Set,Lee2019_ERP,PSD+SVM,2,session_2,0.030000000000000027,0.030000000000000027,0.07,0.030002500000000026,10800,1
4,Single Session,Open Set,Lee2019_ERP,PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,10800,1
5,Single Session,Open Set,Lee2019_ERP,PSD+SVM,3,session_2,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.012504400143965658,10800,1
6,Single Session,Open Set,Lee2019_ERP,PSD+SVM,4,session_1,0.0,0.04999999999999999,0.04999999999999999,0.00388156962329041,10800,1
7,Single Session,Open Set,Lee2019_ERP,PSD+SVM,4,session_2,0.03999999999999998,0.04999999999999999,0.04999999999999999,0.020004999999999995,10800,1
8,Single Session,Open Set,Lee2019_ERP,PSD+SVM,5,session_1,0.0,0.0,0.0,1e-05,10800,1
9,Single Session,Open Set,Lee2019_ERP,PSD+SVM,5,session_2,0.29000000000000004,0.5700000000000001,0.64,0.09826821562833318,10800,1
10,Single Session,Open Set,Lee2019_ERP,PSD+SVM,6,session_1,0.12,0.22999999999999998,0.29,0.06288480764616493,10800,1
11,Single Session,Open Set,Lee2019_ERP,PSD+SVM,6,session_2,0.10999999999999999,0.28,0.30000000000000004,0.0424469127409422,10800,1
12,Single Session,Open Set,Lee2019_ERP,PSD+SVM,7,session_1,0.01999999999999999,0.09,0.12000000000000002,0.006733384587698953,10800,1
13,Single Session,Open Set,Lee2019_ERP,PSD+SVM,7,session_2,0.010000000000000009,0.06,0.11000000000000001,0.008930356714388547,10800,1
14,Single Session,Open Set,Lee2019_ERP,PSD+SVM,8,session_1,0.05000000000000002,0.15,0.16999999999999998,0.030767415820203356,10800,1
15,Single Session,Open Set,Lee2019_ERP,PSD+SVM,8,session_2,0.07999999999999999,0.15,0.15,0.028850476485643654,10800,1
16,Single Session,Open Set,Lee2019_ERP,PSD+SVM,9,session_1,0.0,0.03,0.06999999999999998,0.0009672931093868778,10800,1
17,Single Session,Open Set,Lee2019_ERP,PSD+SVM,9,session_2,0.27,0.64,0.8200000000000001,0.031155039328159634,10800,1
18,Single Session,Open Set,Lee2019_ERP,PSD+SVM,10,session_1,0.020000000000000018,0.04999999999999999,0.08000000000000002,0.020564912540456545,10800,1
19,Single Session,Open Set,Lee2019_ERP,PSD+SVM,10,session_2,0.06,0.12,0.18000000000000002,0.03982014316564045,10800,1
20,Single Session,Open Set,Lee2019_ERP,PSD+SVM,11,session_1,0.0,0.0,0.06,0.00037746841554161875,10800,1
21,Single Session,Open Set,Lee2019_ERP,PSD+SVM,11,session_2,0.010000000000000009,0.03999999999999998,0.06,0.005088779892825721,10800,1
22,Single Session,Open Set,Lee2019_ERP,PSD+SVM,12,session_1,0.07999999999999999,0.23,0.26,0.03000009997600576,10800,1
23,Single Session,Open Set,Lee2019_ERP,PSD+SVM,12,session_2,0.020000000000000018,0.04000000000000001,0.07999999999999999,0.01722826581620432,10800,1
24,Single Session,Open Set,Lee2019_ERP,PSD+SVM,13,session_1,0.010000000000000009,0.020000000000000018,0.05000000000000002,0.008660422698552349,10800,1
25,Single Session,Open Set,Lee2019_ERP,PSD+SVM,13,session_2,0.1,0.19999999999999998,0.31000000000000005,0.025413900663840677,10800,1
26,Single Session,Open Set,Lee2019_ERP,PSD+SVM,14,session_1,0.16,0.27,0.32,0.033749200191954154,10800,1
27,Single Session,Open Set,Lee2019_ERP,PSD+SVM,14,session_2,0.43,0.67,0.71,0.08000000000008473,10800,1
28,Single Session,Open Set,Lee2019_ERP,PSD+SVM,15,session_1,0.010000000000000009,0.04000000000000001,0.11000000000000001,0.011282240981630878,10800,1
29,Single Session,Open Set,Lee2019_ERP,PSD+SVM,15,session_2,0.0,0.18,0.28,0.0021769787251059744,10800,1
30,Single Session,Open Set,Lee2019_ERP,PSD+SVM,16,session_1,0.22000000000000003,0.57,0.62,0.03278693113652777,10800,1
31,Single Session,Open Set,Lee2019_ERP,PSD+SVM,16,session_2,0.05000000000000002,0.25,0.45999999999999996,0.022499500119971413,10800,1
32,Single Session,Open Set,Lee2019_ERP,PSD+SVM,17,session_1,0.0,0.08000000000000002,0.09000000000000002,0.0050462894905222745,10800,1
33,Single Session,Open Set,Lee2019_ERP,PSD+SVM,17,session_2,0.020000000000000018,0.030000000000000027,0.04999999999999999,0.018078061865152574,10800,1
34,Single Session,Open Set,Lee2019_ERP,PSD+SVM,18,session_1,0.11999999999999997,0.22999999999999998,0.24,0.06999999999998156,10800,1
35,Single Session,Open Set,Lee2019_ERP,PSD+SVM,18,session_2,0.05000000000000002,0.13999999999999999,0.2,0.031539630488682746,10800,1
36,Single Session,Open Set,Lee2019_ERP,PSD+SVM,19,session_1,0.03,0.03999999999999998,0.09,0.029235384707670155,10800,1
37,Single Session,Open Set,Lee2019_ERP,PSD+SVM,19,session_2,0.43,0.7,0.78,0.055193953451171784,10800,1
38,Single Session,Open Set,Lee2019_ERP,PSD+SVM,20,session_1,0.12,0.56,0.74,0.037678157242261874,10800,1
39,Single Session,Open Set,Lee2019_ERP,PSD+SVM,20,session_2,0.06999999999999998,0.33,0.43999999999999995,0.02148224426137728,10800,1
40,Single Session,Open Set,Lee2019_ERP,PSD+SVM,21,session_1,0.03,0.05999999999999997,0.09,0.01978269743497734,10800,1
41,Single Session,Open Set,Lee2019_ERP,PSD+SVM,21,session_2,0.030000000000000027,0.16,0.16,0.02673088458769896,10800,1
42,Single Session,Open Set,Lee2019_ERP,PSD+SVM,22,session_1,0.17999999999999997,0.26999999999999996,0.42000000000000004,0.040000099976005975,10800,1
43,Single Session,Open Set,Lee2019_ERP,PSD+SVM,22,session_2,0.07999999999999999,0.21,0.25999999999999995,0.026840958170039397,10800,1
44,Single Session,Open Set,Lee2019_ERP,PSD+SVM,23,session_1,0.0,0.01999999999999999,0.04999999999999999,0.002314477806307214,10800,1
45,Single Session,Open Set,Lee2019_ERP,PSD+SVM,23,session_2,0.11000000000000001,0.25,0.26,0.014618892065904193,10800,1
46,Single Session,Open Set,Lee2019_ERP,PSD+SVM,24,session_1,0.060000000000000026,0.060000000000000026,0.060000000000000026,0.060000000000000206,10800,1
47,Single Session,Open Set,Lee2019_ERP,PSD+SVM,24,session_2,0.16000000000000003,0.24000000000000002,0.3,0.033846676797568594,10800,1
48,Single Session,Open Set,Lee2019_ERP,PSD+SVM,25,session_1,0.12,0.26999999999999996,0.26999999999999996,0.045781312485018794,10800,1
49,Single Session,Open Set,Lee2019_ERP,PSD+SVM,25,session_2,0.25,0.41000000000000003,0.46,0.0761537231065055,10800,1
50,Single Session,Open Set,Lee2019_ERP,PSD+SVM,26,session_1,0.03,0.13999999999999999,0.18999999999999997,0.03154213048868271,10800,1
51,Single Session,Open Set,Lee2019_ERP,PSD+SVM,26,session_2,0.10999999999999999,0.27999999999999997,0.31,0.03475385907383268,10800,1
52,Single Session,Open Set,Lee2019_ERP,PSD+SVM,27,session_1,0.010000000000000009,0.010000000000000009,0.03,0.0032617408796016926,10800,1
53,Single Session,Open Set,Lee2019_ERP,PSD+SVM,27,session_2,0.0,0.020000000000000018,0.05000000000000002,0.002616873150443893,10800,1
54,Single Session,Open Set,Lee2019_ERP,PSD+SVM,28,session_1,0.020000000000000018,0.13,0.16,0.009935115572262657,10800,1
55,Single Session,Open Set,Lee2019_ERP,PSD+SVM,28,session_2,0.01999999999999999,0.06999999999999998,0.09,0.012309445733018861,10800,1
56,Single Session,Open Set,Lee2019_ERP,PSD+SVM,29,session_1,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.012889307766136136,10800,1
57,Single Session,Open Set,Lee2019_ERP,PSD+SVM,29,session_2,0.010000000000000009,0.07,0.18000000000000002,0.006211041431037279,10800,1
58,Single Session,Open Set,Lee2019_ERP,PSD+SVM,30,session_1,0.0,0.010000000000000009,0.01999999999999999,0.0003649142205870591,10800,1
59,Single Session,Open Set,Lee2019_ERP,PSD+SVM,30,session_2,0.16,0.19,0.19,0.0580218565050375,10800,1
60,Single Session,Open Set,Lee2019_ERP,PSD+SVM,31,session_1,0.0,0.01999999999999999,0.06,0.0003649588922273939,10800,1
61,Single Session,Open Set,Lee2019_ERP,PSD+SVM,31,session_2,0.06,0.15999999999999998,0.18999999999999997,0.04692333839879489,10800,1
62,Single Session,Open Set,Lee2019_ERP,PSD+SVM,32,session_1,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0032767153883068063,10800,1
63,Single Session,Open Set,Lee2019_ERP,PSD+SVM,32,session_2,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.006435957170279133,10800,1
64,Single Session,Open Set,Lee2019_ERP,PSD+SVM,33,session_1,0.0,0.04999999999999999,0.09,0.0059660687435015595,10800,1
65,Single Session,Open Set,Lee2019_ERP,PSD+SVM,33,session_2,0.04000000000000001,0.13999999999999999,0.16999999999999998,0.02324227867558327,10800,1
66,Single Session,Open Set,Lee2019_ERP,PSD+SVM,34,session_1,0.1,0.22,0.27,0.02248960309525714,10800,1
67,Single Session,Open Set,Lee2019_ERP,PSD+SVM,34,session_2,0.09,0.22,0.31,0.03500129968807533,10800,1
68,Single Session,Open Set,Lee2019_ERP,PSD+SVM,35,session_1,0.020000000000000018,0.030000000000000027,0.05000000000000002,0.014686375869791459,10800,1
69,Single Session,Open Set,Lee2019_ERP,PSD+SVM,35,session_2,0.04000000000000001,0.07,0.08000000000000002,0.025768615532272672,10800,1
70,Single Session,Open Set,Lee2019_ERP,PSD+SVM,36,session_1,0.11000000000000001,0.15,0.15,0.06442163880667715,10800,1
71,Single Session,Open Set,Lee2019_ERP,PSD+SVM,36,session_2,0.24000000000000002,0.41,0.43,0.06673098456380493,10800,1
72,Single Session,Open Set,Lee2019_ERP,PSD+SVM,37,session_1,0.010000000000000009,0.06999999999999998,0.12,0.00569113472766536,10800,1
73,Single Session,Open Set,Lee2019_ERP,PSD+SVM,37,session_2,0.06999999999999998,0.12,0.22,0.0402877309445733,10800,1
74,Single Session,Open Set,Lee2019_ERP,PSD+SVM,38,session_1,0.0,0.09,0.12999999999999998,0.002987000857392402,10800,1
75,Single Session,Open Set,Lee2019_ERP,PSD+SVM,38,session_2,0.010000000000000009,0.06,0.11000000000000001,0.011814600587714134,10800,1
76,Single Session,Open Set,Lee2019_ERP,PSD+SVM,39,session_1,0.0,0.010000000000000009,0.010000000000000009,0.0009697690554266976,10800,1
77,Single Session,Open Set,Lee2019_ERP,PSD+SVM,39,session_2,0.22,0.42,0.44,0.06000000000006204,10800,1
78,Single Session,Open Set,Lee2019_ERP,PSD+SVM,40,session_1,0.08000000000000002,0.28,0.33999999999999997,0.04392905702636471,10800,1
79,Single Session,Open Set,Lee2019_ERP,PSD+SVM,40,session_2,0.010000000000000009,0.04000000000000001,0.04000000000000001,0.011679597496601024,10800,1
80,Single Session,Open Set,Lee2019_ERP,PSD+SVM,41,session_1,0.020000000000000018,0.05000000000000002,0.1,0.020387407622170884,10800,1
81,Single Session,Open Set,Lee2019_ERP,PSD+SVM,41,session_2,0.010000000000000009,0.13,0.2,0.012887220131235135,10800,1
82,Single Session,Open Set,Lee2019_ERP,PSD+SVM,42,session_1,0.04999999999999999,0.19,0.21,0.031209909621690794,10800,1
83,Single Session,Open Set,Lee2019_ERP,PSD+SVM,42,session_2,0.35,0.59,0.65,0.07192473806286495,10800,1
84,Single Session,Open Set,Lee2019_ERP,PSD+SVM,43,session_1,0.08000000000000002,0.2,0.26,0.04192453811085387,10800,1
85,Single Session,Open Set,Lee2019_ERP,PSD+SVM,43,session_2,0.0,0.0,0.0,1e-05,10800,1
86,Single Session,Open Set,Lee2019_ERP,PSD+SVM,44,session_1,0.09999999999999998,0.15,0.19,0.03826801567623793,10800,1
87,Single Session,Open Set,Lee2019_ERP,PSD+SVM,44,session_2,0.12,0.25,0.26,0.046498540350316114,10800,1
88,Single Session,Open Set,Lee2019_ERP,PSD+SVM,45,session_1,0.04000000000000001,0.19000000000000003,0.19000000000000003,0.014618892065904193,10800,1
89,Single Session,Open Set,Lee2019_ERP,PSD+SVM,45,session_2,0.03,0.05000000000000002,0.07,0.012434516316084141,10800,1
90,Single Session,Open Set,Lee2019_ERP,PSD+SVM,46,session_1,0.07999999999999999,0.14,0.18,0.03517875709829641,10800,1
91,Single Session,Open Set,Lee2019_ERP,PSD+SVM,46,session_2,0.08000000000000002,0.26,0.39,0.06000000000001039,10800,1
92,Single Session,Open Set,Lee2019_ERP,PSD+SVM,47,session_1,0.04000000000000001,0.19,0.29000000000000004,0.0342314844437441,10800,1
93,Single Session,Open Set,Lee2019_ERP,PSD+SVM,47,session_2,0.09999999999999998,0.42,0.45999999999999996,0.03681395584411016,10800,1
94,Single Session,Open Set,Lee2019_ERP,PSD+SVM,48,session_1,0.020000000000000018,0.14999999999999997,0.16999999999999998,0.02154232292036418,10800,1
95,Single Session,Open Set,Lee2019_ERP,PSD+SVM,48,session_2,0.05000000000000002,0.10999999999999999,0.22,0.017623302488383515,10800,1
96,Single Session,Open Set,Lee2019_ERP,PSD+SVM,49,session_1,0.18999999999999997,0.38,0.43,0.07749830040790442,10800,1
97,Single Session,Open Set,Lee2019_ERP,PSD+SVM,49,session_2,0.18,0.43,0.57,0.042692190398155264,10800,1
98,Single Session,Open Set,Lee2019_ERP,PSD+SVM,50,session_1,0.37,0.64,0.65,0.07288450771814749,10800,1
99,Single Session,Open Set,Lee2019_ERP,PSD+SVM,50,session_2,0.01999999999999999,0.01999999999999999,0.01999999999999999,0.010007499999999999,10800,1
100,Single Session,Open Set,Lee2019_ERP,PSD+SVM,51,session_1,0.09,0.13999999999999999,0.23,0.036456098655789075,10800,1
101,Single Session,Open Set,Lee2019_ERP,PSD+SVM,51,session_2,0.07,0.15000000000000002,0.19999999999999998,0.04115472286651252,10800,1
102,Single Session,Open Set,Lee2019_ERP,PSD+SVM,52,session_1,0.1,0.39,0.51,0.058708110053636325,10800,1
103,Single Session,Open Set,Lee2019_ERP,PSD+SVM,52,session_2,0.13,0.36,0.47000000000000003,0.03384427737343037,10800,1
104,Single Session,Open Set,Lee2019_ERP,PSD+SVM,53,session_1,0.0,0.010000000000000009,0.010000000000000009,0.0021519853235223542,10800,1
105,Single Session,Open Set,Lee2019_ERP,PSD+SVM,53,session_2,0.020000000000000018,0.020000000000000018,0.05999999999999997,0.014221509935028388,10800,1
106,Single Session,Open Set,Lee2019_ERP,PSD+SVM,54,session_1,0.05000000000000002,0.28,0.41000000000000003,0.02359913620731066,10800,1
107,Single Session,Open Set,Lee2019_ERP,PSD+SVM,54,session_2,0.06,0.19,0.2,0.04173208429976923,10800,1
108,Single Session,Open Set,Lee2019_ERP,PSD+LR,1,session_1,0.39,0.56,0.6200000000000001,0.025114253279440984,10800,1
