,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,1,session_1,0.033000000000000015,0.05600000000000001,0.081,0.023078044184122883,10800
1,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,1,session_2,0.09799999999999999,0.251,0.374,0.046679586546421646,10800
2,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,2,session_1,0.02200000000000001,0.03900000000000001,0.121,0.020512662916013943,10800
3,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,2,session_2,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010007500000000004,10800
4,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,3,session_1,0.0,0.0050000000000000044,0.009000000000000008,0.0003669138006878349,10800
5,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,3,session_2,0.006000000000000005,0.010000000000000009,0.01100000000000001,0.0029327978685115565,10800
6,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,4,session_1,0.0,0.008000000000000004,0.010000000000000005,0.00040440480284731665,10800
7,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,4,session_2,0.009000000000000005,0.049,0.075,0.005494703030075719,10800
8,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,5,session_1,0.0050000000000000044,0.007000000000000004,0.008000000000000004,0.0020462608773894266,10800
9,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,5,session_2,0.073,0.148,0.211,0.030491111749980992,10800
10,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,6,session_1,0.027000000000000007,0.067,0.095,0.016379467388347186,10800
11,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,6,session_2,0.046000000000000006,0.072,0.10200000000000001,0.0327944467257202,10800
12,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,7,session_1,0.0,0.0,0.0,1e-05,10800
13,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,7,session_2,0.003999999999999998,0.007999999999999998,0.023000000000000003,0.004328437712526447,10800
14,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,8,session_1,0.01100000000000001,0.046,0.07086749867498675,0.005665653074403862,10800
15,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,8,session_2,0.019000000000000013,0.05200000000000001,0.071,0.011078333934582607,10800
16,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,10800
17,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,9,session_2,0.037,0.06999999999999999,0.148,0.027097295132214504,10800
18,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,10,session_1,0.02100000000000001,0.03300000000000001,0.04200000000000001,0.013570443933456012,10800
19,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,10,session_2,0.04400000000000001,0.066,0.078,0.01777520431096432,10800
20,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,10800
21,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,11,session_2,0.0020000000000000018,0.03500000000000001,0.10200000000000001,0.0032119961703401686,10800
22,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,12,session_1,0.04200000000000001,0.11400000000000002,0.21799999999999997,0.030132327174309324,10800
23,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,12,session_2,0.01600000000000001,0.097,0.13399999999999998,0.013964847659813423,10800
24,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,13,session_1,0.0010000000000000009,0.03500000000000001,0.054000000000000006,0.0027038589467870836,10800
25,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,13,session_2,0.020000000000000007,0.041,0.05600000000000001,0.015456696474006826,10800
26,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,14,session_1,0.025000000000000012,0.046,0.053000000000000005,0.023474909255874327,10800
27,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,14,session_2,0.095,0.233,0.29100000000000004,0.054905522674580334,10800
28,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,15,session_1,0.0,0.006000000000000005,0.016000000000000007,0.0006680935922647629,10800
29,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,15,session_2,0.01100000000000001,0.016000000000000007,0.02300000000000001,0.0091192527593378,10800
30,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,16,session_1,0.05,0.203,0.275,0.02735908676421473,10800
31,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,16,session_2,0.09,0.16799999999999998,0.262,0.03984868637528073,10800
32,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,17,session_1,0.0,0.011,0.036,0.0004796698991823485,10800
33,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,17,session_2,0.0,0.017000000000000008,0.024000000000000007,0.0009130417676155453,10800
34,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,18,session_1,0.044000000000000004,0.10500000000000001,0.151,0.03215204499676717,10800
35,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,18,session_2,0.047,0.10200000000000001,0.11299999999999999,0.03932134124734334,10800
36,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,19,session_1,0.0050000000000000044,0.025000000000000015,0.029000000000000015,0.004721622368838885,10800
37,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,19,session_2,0.026000000000000013,0.119,0.202,0.018775415831342207,10800
38,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,20,session_1,0.067,0.253,0.38899999999999996,0.03526363853789277,10800
39,Single Session,Close Set,Lee2019_ERP,AR+PSD+SVM,20,session_2,0.020000000000000014,0.054000000000000006,0.088,0.019681638473090124,10800
