,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,1,session_1,0.09,0.17999999999999997,0.18999999999999997,0.041154722866512033,10800
1,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,1,session_2,0.09,0.29,0.35,0.035768715508288404,10800
2,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,2,session_1,0.030000000000000027,0.04999999999999999,0.12999999999999998,0.022884307766136133,10800
3,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,2,session_2,0.010000000000000009,0.020000000000000018,0.03,0.010389907622170689,10800
4,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,3,session_1,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.006928338398784292,10800
5,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,3,session_2,0.04000000000000001,0.06,0.06,0.027133488562744938,10800
6,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,4,session_1,0.0,0.020000000000000018,0.030000000000000027,0.0027918305606654398,10800
7,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,4,session_2,0.010000000000000009,0.06,0.07999999999999999,0.010470011257031443,10800
8,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,5,session_1,0.01999999999999999,0.03,0.03,0.010582361433256015,10800
9,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,5,session_2,0.1,0.25,0.32999999999999996,0.04211709189794469,10800
10,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,6,session_1,0.1,0.15,0.15,0.03630598656322481,10800
11,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,6,session_2,0.09,0.14,0.18999999999999997,0.050577361433266466,10800
12,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,7,session_1,0.0,0.010000000000000009,0.010000000000000009,0.0011622228665120371,10800
13,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,7,session_2,0.0,0.020000000000000018,0.03999999999999998,0.0007748152443413581,10800
14,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,8,session_1,0.03999999999999998,0.09999999999999998,0.10999999999999999,0.020772315244341567,10800
15,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,8,session_2,0.04999999999999999,0.07999999999999999,0.07999999999999999,0.01843307606174518,10800
16,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,10800
17,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,9,session_2,0.07,0.16999999999999998,0.3,0.029807646164920883,10800
18,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,10,session_1,0.06,0.06,0.07,0.03799078221226905,10800
19,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,10,session_2,0.04999999999999999,0.09,0.13,0.03130498680316724,10800
20,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,10800
21,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,11,session_2,0.010000000000000009,0.16000000000000003,0.22,0.004976306286491242,10800
22,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,12,session_1,0.07000000000000003,0.22999999999999998,0.34,0.03288430776613614,10800
23,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,12,session_2,0.07999999999999999,0.22999999999999998,0.26,0.020150163960649444,10800
24,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,13,session_1,0.01999999999999999,0.04000000000000001,0.060000000000000026,0.005926078341198112,10800
25,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,13,session_2,0.05000000000000002,0.11999999999999997,0.11999999999999997,0.030387455730081996,10800
26,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,14,session_1,0.04000000000000001,0.07,0.09,0.020579861433256026,10800
27,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,14,session_2,0.16,0.41,0.5800000000000001,0.06076761577220563,10800
28,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,15,session_1,0.010000000000000009,0.020000000000000018,0.09,0.008083061265296327,10800
29,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,15,session_2,0.0,0.07999999999999999,0.1,0.001079742661761177,10800
30,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,16,session_1,0.21,0.53,0.58,0.04832340238342798,10800
31,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,16,session_2,0.1,0.31,0.36,0.06027523394386386,10800
32,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,17,session_1,0.010000000000000009,0.09,0.1,0.005153763096856754,10800
33,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,17,session_2,0.01999999999999999,0.03,0.03,0.008275515676237705,10800
34,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,18,session_1,0.1,0.29000000000000004,0.42000000000000004,0.03971016955931615,10800
35,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,18,session_2,0.04999999999999999,0.12,0.15999999999999998,0.032502212245592445,10800
36,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,19,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.030002500000000216,10800
37,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,19,session_2,0.11000000000000001,0.3,0.33999999999999997,0.042884507718147655,10800
38,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,20,session_1,0.11000000000000001,0.42000000000000004,0.72,0.050577461409312796,10800
39,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,20,session_2,0.020000000000000018,0.16,0.18000000000000002,0.021154722866512255,10800
40,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,21,session_1,0.04000000000000001,0.04000000000000001,0.07,0.020015196952731344,10800
41,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,21,session_2,0.03999999999999998,0.12999999999999998,0.21,0.030897285251590655,10800
42,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,22,session_1,0.15,0.28,0.4,0.034041530632638914,10800
43,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,22,session_2,0.04000000000000001,0.24,0.30000000000000004,0.02000259997600597,10800
44,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,23,session_1,0.0,0.0,0.03,0.00019998588436847967,10800
45,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,23,session_2,0.010000000000000009,0.11000000000000001,0.14,0.007245762217067903,10800
46,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,24,session_1,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020005000000000207,10800
47,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,24,session_2,0.04999999999999999,0.11000000000000001,0.21000000000000002,0.027198372390626245,10800
48,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,25,session_1,0.030000000000000027,0.05000000000000002,0.06999999999999998,0.025001299688074866,10800
49,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,25,session_2,0.12000000000000002,0.16999999999999998,0.25,0.05374950011997122,10800
50,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,26,session_1,0.03999999999999998,0.07999999999999999,0.07999999999999999,0.022019611532165022,10800
51,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,26,session_2,0.010000000000000009,0.010000000000000009,0.03,0.01019747786504573,10800
52,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,27,session_1,0.0,0.0,0.0,1e-05,10800
53,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,27,session_2,0.0,0.030000000000000027,0.05000000000000002,0.003026774174198192,10800
54,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,28,session_1,0.020000000000000018,0.04000000000000001,0.060000000000000026,0.02056491254045657,10800
55,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,28,session_2,0.01999999999999999,0.06,0.09,0.012421919339358763,10800
56,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,29,session_1,0.0,0.010000000000000009,0.010000000000000009,0.00039240762217067907,10800
57,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,29,session_2,0.0,0.07999999999999999,0.13999999999999999,0.0017072226247336654,10800
58,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,30,session_1,0.0,0.06,0.08000000000000002,0.001997021914740462,10800
59,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,30,session_2,0.13,0.19,0.19,0.027693254218987436,10800
60,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,31,session_1,0.0,0.0,0.0,1e-05,10800
61,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,31,session_2,0.04000000000000001,0.21999999999999997,0.28,0.04019245381109572,10800
62,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,32,session_1,0.0,0.0,0.0,1e-05,10800
63,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,32,session_2,0.0,0.010000000000000009,0.010000000000000009,0.0007223284411741182,10800
64,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,33,session_1,0.03,0.07999999999999999,0.1,0.015773615532272463,10800
65,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,33,session_2,0.03,0.07999999999999999,0.12000000000000002,0.010949872630568664,10800
66,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,34,session_1,0.060000000000000026,0.14,0.18000000000000002,0.03335599947815803,10800
67,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,34,session_2,0.010000000000000009,0.06999999999999998,0.10999999999999999,0.006073542349836039,10800
68,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,35,session_1,0.010000000000000009,0.01999999999999999,0.01999999999999999,0.0100075,10800
69,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,35,session_2,0.040000000000000036,0.07,0.1,0.03749820043189655,10800
70,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,36,session_1,0.08000000000000002,0.10999999999999999,0.10999999999999999,0.03362433016076162,10800
71,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,36,session_2,0.23,0.32999999999999996,0.37,0.06018015676238763,10800
72,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,37,session_1,0.020000000000000018,0.06,0.1,0.007885608054067024,10800
73,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,37,session_2,0.020000000000000018,0.020000000000000018,0.05000000000000002,0.01654343077661361,10800
74,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,38,session_1,0.03,0.05000000000000002,0.06,0.01897544709269775,10800
75,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,38,session_2,0.0,0.010000000000000009,0.010000000000000009,0.0005848614332560186,10800
76,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,39,session_1,0.0,0.0,0.0,1e-05,10800
77,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,39,session_2,0.05000000000000002,0.15,0.18999999999999997,0.03785561465248339,10800
78,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,40,session_1,0.04000000000000001,0.16,0.18,0.02442403823082481,10800
79,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,40,session_2,0.04999999999999999,0.09,0.09,0.030525174558106053,10800
80,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,41,session_1,0.05000000000000002,0.05000000000000002,0.06,0.02640106374470127,10800
81,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,41,session_2,0.0,0.01999999999999999,0.08000000000000002,0.0009647690554266976,10800
82,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,42,session_1,0.04000000000000001,0.08000000000000002,0.10999999999999999,0.023954151003759104,10800
83,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,42,session_2,0.11999999999999997,0.33999999999999997,0.4,0.043846576821573224,10800
84,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,43,session_1,0.07999999999999999,0.19999999999999998,0.22,0.04267935695433103,10800
85,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,43,session_2,0.0,0.0,0.0,1e-05,10800
86,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,44,session_1,0.020000000000000018,0.12,0.16,0.01494641286091338,10800
87,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,44,session_2,0.08000000000000002,0.19999999999999998,0.24,0.037885607454210976,10800
88,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,45,session_1,0.0,0.01999999999999999,0.04000000000000001,0.0015471304886827161,10800
89,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,45,session_2,0.030000000000000027,0.030000000000000027,0.04000000000000001,0.0209623696312887,10800
90,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,46,session_1,0.09,0.15000000000000002,0.22999999999999998,0.053079460929376696,10800
91,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,46,session_2,0.09000000000000002,0.21999999999999997,0.35999999999999993,0.03684085819403389,10800
92,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,47,session_1,0.04000000000000001,0.13,0.23999999999999996,0.026336272380513254,10800
93,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,47,session_2,0.1,0.26999999999999996,0.39,0.034396544829241184,10800
94,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,48,session_1,0.0,0.010000000000000009,0.010000000000000009,0.00039240762217067907,10800
95,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,48,session_2,0.020000000000000018,0.09,0.15,0.009755159361753179,10800
96,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,49,session_1,0.09,0.18999999999999997,0.24999999999999997,0.03652616371850793,10800
97,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,49,session_2,0.06,0.27,0.49,0.026334271558770748,10800
98,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,50,session_1,0.12,0.53,0.6499999999999999,0.061154822842517755,10800
99,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,50,session_2,0.0,0.0,0.0,1e-05,10800
100,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,51,session_1,0.09,0.18,0.24999999999999997,0.029325361913141054,10800
101,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,51,session_2,0.030000000000000027,0.1,0.14999999999999997,0.030769915220347117,10800
102,Single Session,Open Set,Lee2019_ERP,AR+PSD+SVM,52,session_1,0.10999999999999999,0.22,0.30000000000000004,0.04708849876029753,10800
