,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.021739130434782594,0.043478260869565244,0.043478260869565244,0.008690589170382517,2789,1
1,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.010869565217391297,0.021739130434782594,0.021739130434782594,0.011669390355860893,2789,1
2,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.03260869565217389,0.05434782608695651,0.05434782608695651,0.03261119565217341,2789,1
3,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.08695652173913043,0.17391304347826084,0.17391304347826084,0.03678027790407847,2789,1
4,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.11956521739130435,0.17391304347826086,0.17391304347826086,0.05311918334488183,2789,1
5,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.1739130434782609,0.32608695652173914,0.32608695652173914,0.054984052492171615,2789,1
6,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.30434782608695654,0.4782608695652174,0.4782608695652174,0.11103839763947602,2789,1
7,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.0,0.03260869565217392,0.03260869565217392,0.0007523812838182513,2789,1
8,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.15217391304347827,0.2934782608695653,0.2934782608695653,0.04739457319389734,2789,1
9,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.32608695652173914,0.44565217391304346,0.44565217391304346,0.07454696923198637,2789,1
10,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.021739130434782622,0.20652173913043478,0.20652173913043478,0.008040861504828769,2789,1
11,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.28260869565217395,0.4565217391304348,0.4565217391304348,0.08151098062774578,2789,1
12,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.0,0.043478260869565216,0.043478260869565216,0.0044715168163004144,2789,1
13,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.28260869565217395,0.41304347826086957,0.41304347826086957,0.09680598529193835,2789,1
14,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.25,0.43478260869565216,0.43478260869565216,0.10077737547338338,2789,1
15,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.010869565217391297,0.05434782608695651,0.05434782608695651,0.004174082801783607,2789,1
16,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,17,session_1,0.11956521739130435,0.2717391304347826,0.2717391304347826,0.05161944959516768,2789,1
17,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,18,session_1,0.15217391304347827,0.32608695652173914,0.32608695652173914,0.06200479392769178,2789,1
