,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.010869565217391297,0.05434782608695651,0.05434782608695651,0.01221981219131791,2789,1.0
1,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.010869565217391297,0.010869565217391297,0.010869565217391297,0.008738079272560036,2789,1.0
2,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.021739130434782622,0.021739130434782622,0.021739130434782622,0.01913079287556737,2789,1.0
3,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.14130434782608695,0.3586956521739131,0.3586956521739131,0.06426814361709995,2789,1.0
4,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.06521739130434784,0.17391304347826086,0.17391304347826086,0.03434581348610419,2789,1.0
5,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.1956521739130435,0.3695652173913043,0.3695652173913043,0.05746410625489724,2789,1.0
6,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.21739130434782608,0.3804347826086957,0.3804347826086957,0.08323918737877667,2789,1.0
7,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.0,0.06521739130434781,0.06521739130434781,0.0011497481554058107,2789,1.0
8,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.15217391304347827,0.33695652173913043,0.33695652173913043,0.032562114464877286,2789,1.0
9,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.40217391304347827,0.5217391304347826,0.5217391304347826,0.11187908225407801,2789,1.0
10,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.043478260869565216,0.24999999999999997,0.24999999999999997,0.014389334346443782,2789,1.0
11,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.28260869565217395,0.5,0.5,0.057426279262055964,2789,1.0
12,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.0,0.07608695652173914,0.07608695652173914,0.003679191677830877,2789,1.0
13,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.2391304347826087,0.46739130434782605,0.46739130434782605,0.08194892775763217,2789,1.0
14,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.13043478260869568,0.31521739130434784,0.31521739130434784,0.05434782608696337,2789,1.0
15,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.010869565217391297,0.03260869565217392,0.03260869565217392,0.004521506368598908,2789,1.0
