,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,mantegna 2019,siamese,4,session_1,0.05555555555555558,0.18888888888888888,0.7222222222222222,0.06666666666666664,2789,1.4
1,Single Session,Open Set,mantegna 2019,siamese,8,session_1,0.12222222222222223,0.38888888888888884,0.5666666666666667,0.10793933987511152,2789,1.4
2,Single Session,Open Set,mantegna 2019,siamese,12,session_1,0.18888888888888888,0.5777777777777777,0.9777777777777777,0.13172762414510855,2789,1.4
3,Single Session,Open Set,mantegna 2019,siamese,16,session_1,0.0,0.16666666666666663,0.7111111111111111,0.031717712359996035,2789,1.4
4,Single Session,Open Set,mantegna 2019,siamese,20,session_1,0.0,0.1777777777777778,0.5111111111111111,0.023894862604540025,2789,1.4
5,Single Session,Open Set,mantegna 2019,siamese,24,session_1,0.4222222222222223,0.8444444444444444,0.9777777777777777,0.22063633660422244,2789,1.4
6,Single Session,Open Set,mantegna 2019,siamese,28,session_1,0.0,0.1777777777777778,0.4111111111111111,0.044444444444441074,2789,1.4
7,Single Session,Open Set,mantegna 2019,siamese,30,session_1,0.022222222222222254,0.2666666666666667,0.8333333333333334,0.06670631380711665,2789,1.4
8,Single Session,Open Set,mantegna 2019,siamese,5,session_1,0.022222222222222254,0.3222222222222222,0.4666666666666667,0.06666666666666662,2789,1.4
9,Single Session,Open Set,mantegna 2019,siamese,9,session_1,0.0,0.09999999999999998,0.8222222222222222,0.019030627415997623,2789,1.4
10,Single Session,Open Set,mantegna 2019,siamese,13,session_1,0.0,0.011111111111111072,0.022222222222222254,0.011111111111110196,2789,1.4
11,Single Session,Open Set,mantegna 2019,siamese,15,session_1,0.24444444444444446,0.6555555555555556,0.9111111111111111,0.16344533650510457,2789,1.4
12,Single Session,Open Set,mantegna 2019,siamese,17,session_1,0.033333333333333326,0.7111111111111111,0.8555555555555556,0.06666666666618173,2789,1.4
13,Single Session,Open Set,mantegna 2019,siamese,21,session_1,0.11111111111111116,0.7666666666666666,0.9,0.1015957974031123,2789,1.4
14,Single Session,Open Set,mantegna 2019,siamese,25,session_1,0.011111111111111072,0.1444444444444445,0.28888888888888886,0.04445440063719634,2789,1.4
15,Single Session,Open Set,mantegna 2019,siamese,29,session_1,0.0,0.033333333333333326,0.06666666666666665,0.020616513033997422,2789,1.4
16,Single Session,Open Set,mantegna 2019,siamese,2,session_1,0.011111111111111072,0.0444444444444444,0.09999999999999998,0.028645058975121422,2789,1.4
17,Single Session,Open Set,mantegna 2019,siamese,6,session_1,0.0444444444444444,0.16666666666666663,0.23333333333333328,0.07777777777777797,2789,1.4
18,Single Session,Open Set,mantegna 2019,siamese,10,session_1,0.011111111111111072,0.022222222222222254,0.0888888888888889,0.022222222222225637,2789,1.4
19,Single Session,Open Set,mantegna 2019,siamese,14,session_1,0.022222222222222254,0.23333333333333328,0.4111111111111111,0.04460374352847471,2789,1.4
20,Single Session,Open Set,mantegna 2019,siamese,18,session_1,0.022222222222222254,0.16666666666666663,0.3555555555555555,0.04767568639111904,2789,1.4
21,Single Session,Open Set,mantegna 2019,siamese,22,session_1,0.0,0.011111111111111072,0.033333333333333326,0.011101199325998613,2789,1.4
22,Single Session,Open Set,mantegna 2019,siamese,26,session_1,0.0,0.0,0.05555555555555558,0.007929428089999009,2789,1.4
23,Single Session,Open Set,mantegna 2019,siamese,31,session_1,0.0,0.3033707865168539,0.5617977528089888,0.036578112609040446,2789,1.4
24,Single Session,Open Set,mantegna 2019,siamese,1,session_1,0.0,0.011111111111111072,0.07777777777777772,0.011111111111254188,2789,1.4
25,Single Session,Open Set,mantegna 2019,siamese,3,session_1,0.0,0.0,0.033333333333333326,0.0037833532457188374,2789,1.4
26,Single Session,Open Set,mantegna 2019,siamese,7,session_1,0.23333333333333328,0.7777777777777778,0.9777777777777777,0.13333333333333328,2789,1.4
27,Single Session,Open Set,mantegna 2019,siamese,11,session_1,0.0,0.0,0.033333333333333326,0.0037833532457188374,2789,1.4
28,Single Session,Open Set,mantegna 2019,siamese,19,session_1,0.022222222222222254,0.5666666666666667,0.6666666666666667,0.04077060931899642,2789,1.4
29,Single Session,Open Set,mantegna 2019,siamese,23,session_1,0.0,0.011111111111111072,0.011111111111111072,0.011101199325998613,2789,1.4
30,Single Session,Open Set,mantegna 2019,siamese,27,session_1,0.0,0.033333333333333326,0.7888888888888889,0.011200716845878136,2789,1.4
