,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.05434782608695654,0.06521739130434784,0.06521739130434784,0.03925277798233751,2789,0
1,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,2789,0
2,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.03260869565217392,0.043478260869565216,0.043478260869565216,0.03261369565218933,2789,0
3,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.19565217391304346,0.34782608695652173,0.34782608695652173,0.061534288543404,2789,0
4,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.09782608695652173,0.21739130434782608,0.21739130434782608,0.0773982984612951,2789,0
5,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.19565217391304346,0.3804347826086956,0.3804347826086956,0.04714458570903117,2789,0
6,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.26086956521739135,0.3913043478260869,0.3913043478260869,0.10659578805706224,2789,0
7,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.043478260869565244,0.08695652173913046,0.08695652173913046,0.04536784516103678,2789,0
8,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.11956521739130432,0.31521739130434784,0.31521739130434784,0.04123342864569795,2789,0
9,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.34782608695652173,0.5,0.5,0.07516683286199778,2789,0
10,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.03260869565217392,0.17391304347826086,0.17391304347826086,0.02248907610211819,2789,0
11,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.23913043478260868,0.44565217391304346,0.44565217391304346,0.07851196649780527,2789,0
12,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.0,0.03260869565217392,0.03260869565217392,0.003431746115854512,2789,0
13,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.27173913043478265,0.44565217391304346,0.44565217391304346,0.08782959053356246,2789,0
14,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.2173913043478261,0.44565217391304346,0.44565217391304346,0.07865497851343808,2789,0
15,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.010869565217391297,0.021739130434782594,0.021739130434782594,0.005216353502229509,2789,0
16,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,17,session_1,0.14130434782608695,0.2717391304347826,0.2717391304347826,0.03776419242766591,2789,0
17,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,18,session_1,0.17391304347826086,0.3586956521739131,0.3586956521739131,0.05487238459705479,2789,0
18,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,19,session_1,0.03260869565217392,0.09782608695652173,0.09782608695652173,0.018820859960808622,2789,0
19,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,20,session_1,0.09782608695652176,0.4347826086956522,0.4347826086956522,0.04929752410984034,2789,0
20,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,21,session_1,0.11956521739130432,0.2608695652173913,0.2608695652173913,0.014192602338890747,2789,0
21,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,22,session_1,0.11956521739130435,0.29347826086956524,0.29347826086956524,0.04736403698360246,2789,0
22,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,23,session_1,0.05434782608695651,0.10869565217391303,0.10869565217391303,0.029629894466698697,2789,0
23,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,24,session_1,0.10869565217391308,0.1847826086956522,0.1847826086956522,0.051012146892900775,2789,0
24,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,25,session_1,0.021739130434782594,0.05434782608695651,0.05434782608695651,0.02293136814234096,2789,0
25,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,26,session_1,0.010869565217391297,0.05434782608695651,0.05434782608695651,0.005571275969286756,2789,0
26,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,27,session_1,0.06521739130434781,0.20652173913043478,0.20652173913043478,0.028487645761337825,2789,0
27,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,28,session_1,0.09782608695652173,0.13043478260869565,0.13043478260869565,0.011616901353441426,2789,0
28,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,29,session_1,0.05434782608695651,0.2391304347826087,0.2391304347826087,0.03086712227657746,2789,0
29,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,30,session_1,0.17391304347826086,0.44565217391304346,0.44565217391304346,0.0565753795034082,2789,0
30,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,31,session_1,0.17391304347826086,0.28260869565217395,0.28260869565217395,0.029527456961254275,2789,0
31,Single Session,Open Set,mantegna 2019,AR+PSD+LR,1,session_1,0.44565217391304346,0.5108695652173914,0.5108695652173914,0.012210489145685248,2789,0
32,Single Session,Open Set,mantegna 2019,AR+PSD+LR,2,session_1,0.010869565217391297,0.010869565217391297,0.010869565217391297,0.010877065217391298,2789,0
33,Single Session,Open Set,mantegna 2019,AR+PSD+LR,3,session_1,0.010869565217391297,0.06521739130434781,0.06521739130434781,0.005858711633440643,2789,0
34,Single Session,Open Set,mantegna 2019,AR+PSD+LR,4,session_1,0.14130434782608695,0.6521739130434783,0.6521739130434783,0.05170449457633709,2789,0
35,Single Session,Open Set,mantegna 2019,AR+PSD+LR,5,session_1,0.4347826086956521,0.8695652173913043,0.8695652173913043,0.03839884178787082,2789,0
36,Single Session,Open Set,mantegna 2019,AR+PSD+LR,6,session_1,0.31521739130434784,0.7352173521735217,0.7387391265217,0.040923496830697244,2789,0
37,Single Session,Open Set,mantegna 2019,AR+PSD+LR,7,session_1,0.4673913043478261,0.9021739130434783,0.9021739130434783,0.07608695652175461,2789,0
38,Single Session,Open Set,mantegna 2019,AR+PSD+LR,8,session_1,0.1956521739130435,0.6739130434782609,0.6739130434782609,0.007694511960031835,2789,0
39,Single Session,Open Set,mantegna 2019,AR+PSD+LR,9,session_1,0.3438856127691712,0.7474320395377867,0.7497432039537787,0.027104037111835396,2789,0
40,Single Session,Open Set,mantegna 2019,AR+PSD+LR,10,session_1,0.33695652173913043,0.7934782608695652,0.7934782608695652,0.06613881902495877,2789,0
41,Single Session,Open Set,mantegna 2019,AR+PSD+LR,11,session_1,0.2934782608695652,0.75,0.75,0.030472753065991617,2789,0
42,Single Session,Open Set,mantegna 2019,AR+PSD+LR,12,session_1,0.782608695652174,0.9130434782608696,0.9130434782608696,0.0887174559202436,2789,0
43,Single Session,Open Set,mantegna 2019,AR+PSD+LR,13,session_1,0.0,0.25,0.25,0.002094780835512271,2789,0
44,Single Session,Open Set,mantegna 2019,AR+PSD+LR,14,session_1,0.17391304347826092,0.6304347826086956,0.6304347826086956,0.048181356623282004,2789,0
45,Single Session,Open Set,mantegna 2019,AR+PSD+LR,15,session_1,0.30434782608695654,0.8260869565217392,0.8260869565217392,0.04093154684135873,2789,0
46,Single Session,Open Set,mantegna 2019,AR+PSD+LR,16,session_1,0.25,0.4891304347826087,0.4891304347826087,0.005414311611213507,2789,0
47,Single Session,Open Set,mantegna 2019,AR+PSD+LR,17,session_1,0.16304347826086957,0.6739130434782609,0.6739130434782609,0.009533065754872363,2789,0
48,Single Session,Open Set,mantegna 2019,AR+PSD+LR,18,session_1,0.6739130434782609,0.9456521739130435,0.9456521739130435,0.08069398645334944,2789,0
49,Single Session,Open Set,mantegna 2019,AR+PSD+LR,19,session_1,0.05434782608695651,0.5543478260869565,0.5543478260869565,0.013954514398490858,2789,0
50,Single Session,Open Set,mantegna 2019,AR+PSD+LR,20,session_1,0.5217391304347826,0.7282608695652174,0.7282608695652174,0.032611195652180285,2789,0
51,Single Session,Open Set,mantegna 2019,AR+PSD+LR,21,session_1,0.2065217391304348,0.858695652173913,0.858695652173913,0.01895119582358471,2789,0
52,Single Session,Open Set,mantegna 2019,AR+PSD+LR,22,session_1,0.15217391304347827,0.4130434782608696,0.4130434782608696,0.02372619328088346,2789,0
53,Single Session,Open Set,mantegna 2019,AR+PSD+LR,23,session_1,0.15217391304347824,0.5978260869565217,0.5978260869565217,0.029871704106129143,2789,0
54,Single Session,Open Set,mantegna 2019,AR+PSD+LR,24,session_1,0.06521739130434784,0.5543478260869565,0.5543478260869565,0.01583651596648737,2789,0
55,Single Session,Open Set,mantegna 2019,AR+PSD+LR,25,session_1,0.22826086956521738,0.5396846359767946,0.5528815070759404,0.06316447338107305,2789,0
56,Single Session,Open Set,mantegna 2019,AR+PSD+LR,26,session_1,0.2608695652173913,0.5543478260869565,0.5543478260869565,0.011572454609985803,2789,0
57,Single Session,Open Set,mantegna 2019,AR+PSD+LR,27,session_1,0.043478260869565244,0.45652173913043476,0.45652173913043476,0.0135951417310019,2789,0
58,Single Session,Open Set,mantegna 2019,AR+PSD+LR,28,session_1,0.2391304347826087,0.6086956521739131,0.6086956521739131,0.025313429799477573,2789,0
59,Single Session,Open Set,mantegna 2019,AR+PSD+LR,29,session_1,0.34782608695652173,0.7826086956521738,0.7826086956521738,0.03210684953657999,2789,0
60,Single Session,Open Set,mantegna 2019,AR+PSD+LR,30,session_1,0.46739130434782605,0.9239130434782609,0.9239130434782609,0.05750410946543361,2789,0
61,Single Session,Open Set,mantegna 2019,AR+PSD+LR,31,session_1,0.25,0.7608695652173914,0.7608695652173914,0.0295162297459043,2789,0
62,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,1,session_1,0.40823632243883873,0.6103888496351882,0.6186475806156927,0.02793903679971487,2789,0
63,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,2,session_1,0.0,0.0,0.0,1e-05,2789,0
64,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,3,session_1,0.08695652173913043,0.532608695652174,0.532608695652174,0.02392487365089888,2789,0
65,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,4,session_1,0.4347826086956522,1.0,1.0,0.07749545100077984,2789,0
66,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,5,session_1,0.4749208065203182,0.853850742064733,0.858211161162995,0.04613680642432583,2789,0
67,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,6,session_1,0.2860052513568614,0.5852034607302594,0.6161290417251999,0.04003981256317127,2789,0
68,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,7,session_1,0.6521739130434783,0.8804347826086956,0.8804347826086956,0.10628303077670705,2789,0
69,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,8,session_1,0.2141297499931521,0.6731519489107934,0.6934021514128184,0.019696263593950526,2789,0
70,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,9,session_1,0.15532492281444557,0.5875321796696228,0.6261445223147883,0.015978984623382854,2789,0
71,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,10,session_1,0.6521739130434783,0.9021739130434783,0.9021739130434783,0.078856021240544,2789,0
72,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,11,session_1,0.39198326765876357,0.7200678528524416,0.7274415678939399,0.03672583336015439,2789,0
73,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,12,session_1,0.8804347826086957,0.9565217391304348,0.9565217391304348,0.12762676101099832,2789,0
74,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,13,session_1,0.08695652173913043,0.488639886398864,0.6162552929877125,0.033151619687162445,2789,0
75,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,14,session_1,0.21739130434782608,0.6304347826086957,0.6304347826086957,0.05130458415219548,2789,0
76,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,15,session_1,0.5543478260869565,0.9415234007412538,0.9550219052915168,0.039013373579551675,2789,0
77,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,16,session_1,0.29654131521552374,0.7698715228259002,0.7715523696738943,0.035124863945333415,2789,0
78,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,17,session_1,0.32608695652173914,0.9517607132593064,0.9658282452389741,0.03058343147829229,2789,0
79,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,18,session_1,0.8260869565217391,0.9782608695652174,0.9782608695652174,0.1223914434476589,2789,0
80,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,19,session_1,0.043478260869565244,0.45106972808858525,0.5342374075914672,0.0290255708961417,2789,0
81,Single Session,Open Set,mantegna 2019,AR+PSD+LDA,20,session_1,0.6847826086956522,0.8260869565217391,0.8260869565217391,0.041496939835973995,2789,0
