,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,mantegna 2019,siamese,2,session_1,0.0,0.0,0.0,0.0001,2681,300
1,Single Session,Open Set,mantegna 2019,siamese,9,session_1,0.0,0.0,0.1392405063291139,0.008037308989878944,2681,300
2,Single Session,Open Set,mantegna 2019,siamese,15,session_1,0.12345679012345678,0.45679012345679015,0.9259259259259259,0.11111111111111116,2681,300
3,Single Session,Open Set,mantegna 2019,siamese,16,session_1,0.0,0.0,0.022222222222222254,0.003270889087124591,2681,300
4,Single Session,Open Set,mantegna 2019,siamese,21,session_1,0.0,0.033333333333333326,0.5222222222222221,0.022222222222222206,2681,300
5,Single Session,Open Set,mantegna 2019,siamese,27,session_1,0.0,0.022222222222222254,0.18888888888888888,0.022222222222222185,2681,300
6,Single Session,Open Set,mantegna 2019,siamese,28,session_1,0.0,0.0786516853932584,0.1348314606741573,0.033707865168539235,2681,300
7,Single Session,Open Set,mantegna 2019,siamese,30,session_1,0.0,0.05555555555555558,0.2666666666666667,0.028050351868371494,2681,300
8,Single Session,Open Set,mantegna 2019,siamese,1,session_1,0.011363636363636354,0.17045454545454541,0.26136363636363635,0.06714309456539803,2681,300
9,Single Session,Open Set,mantegna 2019,siamese,4,session_1,0.0449438202247191,0.0674157303370787,0.2359550561797753,0.056179775280898896,2681,300
10,Single Session,Open Set,mantegna 2019,siamese,14,session_1,0.0444444444444444,0.1444444444444445,0.33333333333333337,0.05243334324511845,2681,300
11,Single Session,Open Set,mantegna 2019,siamese,19,session_1,0.022727272727272707,0.03409090909090906,0.48863636363636365,0.03409090909090902,2681,300
12,Single Session,Open Set,mantegna 2019,siamese,20,session_1,0.0,0.0,0.0888888888888889,0.001898054494143503,2681,300
13,Single Session,Open Set,mantegna 2019,siamese,25,session_1,0.0,0.011111111111111072,0.8222222222222222,0.011111111111110196,2681,300
14,Single Session,Open Set,mantegna 2019,siamese,31,session_1,0.0,0.0,0.0449438202247191,0.0037835415940658135,2681,300
15,Single Session,Open Set,mantegna 2019,siamese,7,session_1,0.11363636363636365,0.5454545454545454,0.7840909090909091,0.11363636363636355,2681,300
16,Single Session,Open Set,mantegna 2019,siamese,10,session_1,0.0337078651685393,0.5168539325842696,0.8426966292134832,0.04839460214053048,2681,300
17,Single Session,Open Set,mantegna 2019,siamese,11,session_1,0.033333333333333326,0.5111111111111111,1.0,0.05555555555555552,2681,300
18,Single Session,Open Set,mantegna 2019,siamese,17,session_1,0.06896551724137934,0.22988505747126442,0.9310344827586207,0.0804597701149425,2681,300
19,Single Session,Open Set,mantegna 2019,siamese,22,session_1,0.0,0.0337078651685393,0.2247191011235955,0.024187153053132435,2681,300
20,Single Session,Open Set,mantegna 2019,siamese,23,session_1,0.0444444444444444,0.4,0.48888888888888893,0.06666666666666665,2681,300
21,Single Session,Open Set,mantegna 2019,siamese,24,session_1,0.5222222222222221,0.8666666666666667,0.8888888888888888,0.22833782032106892,2681,300
22,Single Session,Open Set,mantegna 2019,siamese,29,session_1,0.011111111111111072,0.25555555555555554,0.3555555555555555,0.05530776092774309,2681,300
23,Single Session,Open Set,mantegna 2019,siamese,3,session_1,0.0,0.0,0.0444444444444444,0.006670649143767424,2681,300
24,Single Session,Open Set,mantegna 2019,siamese,5,session_1,0.09090909090909094,0.4545454545454546,0.8068181818181819,0.09280095588967441,2681,300
25,Single Session,Open Set,mantegna 2019,siamese,6,session_1,0.0,0.0,0.07042253521126762,0.004883153121730031,2681,300
26,Single Session,Open Set,mantegna 2019,siamese,8,session_1,0.0,0.11111111111111116,0.30000000000000004,0.022222222222222303,2681,300
27,Single Session,Open Set,mantegna 2019,siamese,12,session_1,0.1573033707865169,0.5617977528089888,0.7415730337078652,0.1235955056179775,2681,300
28,Single Session,Open Set,mantegna 2019,siamese,13,session_1,0.011111111111111072,0.033333333333333326,0.05555555555555558,0.033333333333687404,2681,300
29,Single Session,Open Set,mantegna 2019,siamese,18,session_1,0.04705882352941182,0.14117647058823535,0.3647058823529412,0.07058823529411762,2681,300
30,Single Session,Open Set,mantegna 2019,siamese,26,session_1,0.0,0.0,0.3146067415730337,0.009978795060496445,2681,300
