,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,mantegna 2019,AR+SVM,1,session_1,0.03260869565217392,0.11956521739130435,0.11956521739130435,0.015336082583570797,2789,1
1,Single Session,Open Set,mantegna 2019,AR+SVM,2,session_1,0.03260869565217392,0.043478260869565216,0.043478260869565216,0.019207731370837266,2789,1
2,Single Session,Open Set,mantegna 2019,AR+SVM,3,session_1,0.10869565217391303,0.32608695652173914,0.32608695652173914,0.03231430389662078,2789,1
3,Single Session,Open Set,mantegna 2019,AR+SVM,4,session_1,0.31521739130434784,0.5760869565217391,0.5760869565217391,0.060387584296616933,2789,1
4,Single Session,Open Set,mantegna 2019,AR+SVM,5,session_1,0.34782608695652173,0.6086956521739131,0.6086956521739131,0.1272753689840409,2789,1
5,Single Session,Open Set,mantegna 2019,AR+SVM,6,session_1,0.08695652173913046,0.5543478260869565,0.5543478260869565,0.04143498961883972,2789,1
6,Single Session,Open Set,mantegna 2019,AR+SVM,7,session_1,0.25,0.5978260869565217,0.5978260869565217,0.07803674495959026,2789,1
7,Single Session,Open Set,mantegna 2019,AR+SVM,8,session_1,0.06521739130434784,0.1739130434782609,0.1739130434782609,0.02808077875041376,2789,1
8,Single Session,Open Set,mantegna 2019,AR+SVM,9,session_1,0.41304347826086957,0.7065217391304348,0.7065217391304348,0.09831876865445124,2789,1
9,Single Session,Open Set,mantegna 2019,AR+SVM,10,session_1,0.3804347826086957,0.6413043478260869,0.6413043478260869,0.07085973694484332,2789,1
10,Single Session,Open Set,mantegna 2019,AR+SVM,11,session_1,0.30434782608695654,0.4891304347826087,0.4891304347826087,0.09782608695652212,2789,1
11,Single Session,Open Set,mantegna 2019,AR+SVM,12,session_1,0.41304347826086957,0.7608695652173914,0.7608695652173914,0.14553167868284544,2789,1
12,Single Session,Open Set,mantegna 2019,AR+SVM,13,session_1,0.043478260869565216,0.11956521739130435,0.11956521739130435,0.03602848732626592,2789,1
13,Single Session,Open Set,mantegna 2019,AR+SVM,14,session_1,0.16304347826086957,0.4782608695652174,0.4782608695652174,0.04903453848851133,2789,1
14,Single Session,Open Set,mantegna 2019,AR+SVM,15,session_1,0.2717391304347826,0.45652173913043476,0.45652173913043476,0.08353890404980496,2789,1
15,Single Session,Open Set,mantegna 2019,AR+SVM,16,session_1,0.07608695652173914,0.4456521739130435,0.4456521739130435,0.021977664913718983,2789,1
16,Single Session,Open Set,mantegna 2019,AR+SVM,17,session_1,0.3804347826086957,0.6413043478260869,0.6413043478260869,0.07945588926960037,2789,1
17,Single Session,Open Set,mantegna 2019,AR+SVM,18,session_1,0.49999999999999994,0.782608695652174,0.782608695652174,0.15058361073607288,2789,1
18,Single Session,Open Set,mantegna 2019,AR+SVM,19,session_1,0.021739130434782622,0.11956521739130432,0.11956521739130432,0.0160265807118061,2789,1
19,Single Session,Open Set,mantegna 2019,AR+SVM,20,session_1,0.3586956521739131,0.8369565217391305,0.8369565217391305,0.07865497851342232,2789,1
20,Single Session,Open Set,mantegna 2019,AR+SVM,21,session_1,0.3586956521739131,0.782608695652174,0.782608695652174,0.08114051865111416,2789,1
21,Single Session,Open Set,mantegna 2019,AR+SVM,22,session_1,0.2282608695652174,0.3913043478260869,0.3913043478260869,0.07855500050858374,2789,1
22,Single Session,Open Set,mantegna 2019,AR+SVM,23,session_1,0.14130434782608697,0.23913043478260868,0.23913043478260868,0.04665080646680181,2789,1
23,Single Session,Open Set,mantegna 2019,AR+SVM,24,session_1,0.21739130434782608,0.5978260869565217,0.5978260869565217,0.07066836600295748,2789,1
24,Single Session,Open Set,mantegna 2019,AR+SVM,25,session_1,0.2934782608695652,0.5217391304347827,0.5217391304347827,0.12444881691245313,2789,1
25,Single Session,Open Set,mantegna 2019,AR+SVM,26,session_1,0.11956521739130435,0.2717391304347826,0.2717391304347826,0.03394948763438657,2789,1
26,Single Session,Open Set,mantegna 2019,AR+SVM,27,session_1,0.3152173913043478,0.532608695652174,0.532608695652174,0.08454227026577434,2789,1
27,Single Session,Open Set,mantegna 2019,AR+SVM,28,session_1,0.03260869565217392,0.1956521739130435,0.1956521739130435,0.009430744902556461,2789,1
28,Single Session,Open Set,mantegna 2019,AR+SVM,29,session_1,0.28260869565217395,0.532608695652174,0.532608695652174,0.062369648242603756,2789,1
29,Single Session,Open Set,mantegna 2019,AR+SVM,30,session_1,0.2065217391304348,0.32608695652173914,0.32608695652173914,0.08695902173911658,2789,1
30,Single Session,Open Set,mantegna 2019,AR+SVM,31,session_1,0.17391304347826086,0.46739130434782616,0.46739130434782616,0.05233098718281978,2789,1
31,Single Session,Open Set,mantegna 2019,AR+LR,1,session_1,0.010869565217391297,0.26086956521739135,0.26086956521739135,0.014346300335665335,2789,1
32,Single Session,Open Set,mantegna 2019,AR+LR,2,session_1,0.0,0.010869565217391297,0.010869565217391297,0.0013971942672612021,2789,1
33,Single Session,Open Set,mantegna 2019,AR+LR,3,session_1,0.07608695652173914,0.3478260869565218,0.3478260869565218,0.025413322112612925,2789,1
34,Single Session,Open Set,mantegna 2019,AR+LR,4,session_1,0.3369565217391304,0.5652173913043479,0.5652173913043479,0.06711664738105455,2789,1
35,Single Session,Open Set,mantegna 2019,AR+LR,5,session_1,0.4565217391304348,0.7826086956521738,0.7826086956521738,0.11171792205714744,2789,1
36,Single Session,Open Set,mantegna 2019,AR+LR,6,session_1,0.05434782608695651,0.6413043478260869,0.6413043478260869,0.0404425156900265,2789,1
37,Single Session,Open Set,mantegna 2019,AR+LR,7,session_1,0.46739130434782605,0.6413043478260869,0.6413043478260869,0.10412553627095557,2789,1
38,Single Session,Open Set,mantegna 2019,AR+LR,8,session_1,0.010869565217391297,0.17391304347826086,0.17391304347826086,0.013256540632799968,2789,1
39,Single Session,Open Set,mantegna 2019,AR+LR,9,session_1,0.7065217391304348,0.9239130434782609,0.9239130434782609,0.08300760789148134,2789,1
40,Single Session,Open Set,mantegna 2019,AR+LR,10,session_1,0.4782608695652174,0.8043478260869565,0.8043478260869565,0.07250497494197494,2789,1
41,Single Session,Open Set,mantegna 2019,AR+LR,11,session_1,0.34782608695652173,0.7717391304347825,0.7717391304347825,0.09264885638204258,2789,1
42,Single Session,Open Set,mantegna 2019,AR+LR,12,session_1,0.8152173913043479,0.9782608695652174,0.9782608695652174,0.1605033849074941,2789,1
43,Single Session,Open Set,mantegna 2019,AR+LR,13,session_1,0.010869565217391297,0.06521739130434781,0.06521739130434781,0.006950971336306013,2789,1
44,Single Session,Open Set,mantegna 2019,AR+LR,14,session_1,0.4565217391304348,0.7934782608695652,0.7934782608695652,0.11098286637809261,2789,1
45,Single Session,Open Set,mantegna 2019,AR+LR,15,session_1,0.5434782608695652,0.8043478260869565,0.8043478260869565,0.09022542292446495,2789,1
46,Single Session,Open Set,mantegna 2019,AR+LR,16,session_1,0.06521739130434781,0.4782608695652174,0.4782608695652174,0.016373897742496653,2789,1
47,Single Session,Open Set,mantegna 2019,AR+LR,17,session_1,0.43478260869565216,0.8695652173913044,0.8695652173913044,0.06521739130428741,2789,1
