,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,mantegna 2019,PSD+SVM,1,session_1,0.06521739130434781,0.08695652173913043,0.08695652173913043,0.04332133887044691,2789,1
1,Single Session,Open Set,mantegna 2019,PSD+SVM,2,session_1,0.0,0.021739130434782622,0.021739130434782622,0.002439464967707104,2789,1
2,Single Session,Open Set,mantegna 2019,PSD+SVM,3,session_1,0.05434782608695654,0.06521739130434784,0.06521739130434784,0.03633450695846913,2789,1
3,Single Session,Open Set,mantegna 2019,PSD+SVM,4,session_1,0.2282608695652174,0.5,0.5,0.07776017537011737,2789,1
4,Single Session,Open Set,mantegna 2019,PSD+SVM,5,session_1,0.13043478260869568,0.2391304347826087,0.2391304347826087,0.05791954030984272,2789,1
5,Single Session,Open Set,mantegna 2019,PSD+SVM,6,session_1,0.1630434782608696,0.2391304347826087,0.2391304347826087,0.05997385737705256,2789,1
6,Single Session,Open Set,mantegna 2019,PSD+SVM,7,session_1,0.34782608695652173,0.5652173913043479,0.5652173913043479,0.097826086956525,2789,1
7,Single Session,Open Set,mantegna 2019,PSD+SVM,8,session_1,0.043478260869565216,0.1956521739130435,0.1956521739130435,0.03578549675585815,2789,1
8,Single Session,Open Set,mantegna 2019,PSD+SVM,9,session_1,0.11956521739130435,0.358695652173913,0.358695652173913,0.049476615144668175,2789,1
9,Single Session,Open Set,mantegna 2019,PSD+SVM,10,session_1,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.09459560201103615,2789,1
10,Single Session,Open Set,mantegna 2019,PSD+SVM,11,session_1,0.05434782608695651,0.41304347826086957,0.41304347826086957,0.007393852487177173,2789,1
11,Single Session,Open Set,mantegna 2019,PSD+SVM,12,session_1,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.081851775218148,2789,1
12,Single Session,Open Set,mantegna 2019,PSD+SVM,13,session_1,0.05434782608695651,0.09782608695652176,0.09782608695652176,0.030437217955527535,2789,1
13,Single Session,Open Set,mantegna 2019,PSD+SVM,14,session_1,0.29347826086956524,0.30434782608695654,0.30434782608695654,0.0578499345079896,2789,1
14,Single Session,Open Set,mantegna 2019,PSD+SVM,15,session_1,0.28260869565217395,0.4565217391304348,0.4565217391304348,0.13292499563128052,2789,1
15,Single Session,Open Set,mantegna 2019,PSD+SVM,16,session_1,0.15217391304347824,0.3369565217391305,0.3369565217391305,0.019853844337013146,2789,1
16,Single Session,Open Set,mantegna 2019,PSD+SVM,17,session_1,0.07608695652173916,0.1630434782608696,0.1630434782608696,0.03925473352384345,2789,1
17,Single Session,Open Set,mantegna 2019,PSD+SVM,18,session_1,0.16304347826086957,0.3913043478260869,0.3913043478260869,0.04673167555311744,2789,1
18,Single Session,Open Set,mantegna 2019,PSD+SVM,19,session_1,0.021739130434782622,0.17391304347826086,0.17391304347826086,0.012409359737753312,2789,1
19,Single Session,Open Set,mantegna 2019,PSD+SVM,20,session_1,0.1630434782608696,0.5,0.5,0.05055583423820671,2789,1
20,Single Session,Open Set,mantegna 2019,PSD+SVM,21,session_1,0.22826086956521738,0.5434782608695652,0.5434782608695652,0.04600987782687809,2789,1
21,Single Session,Open Set,mantegna 2019,PSD+SVM,22,session_1,0.1739130434782609,0.30434782608695654,0.30434782608695654,0.05335717446509571,2789,1
22,Single Session,Open Set,mantegna 2019,PSD+SVM,23,session_1,0.08695652173913046,0.28260869565217395,0.28260869565217395,0.05434782608695664,2789,1
23,Single Session,Open Set,mantegna 2019,PSD+SVM,24,session_1,0.15217391304347827,0.3695652173913043,0.3695652173913043,0.06873216153316149,2789,1
24,Single Session,Open Set,mantegna 2019,PSD+SVM,25,session_1,0.05434782608695654,0.09782608695652173,0.09782608695652173,0.04984240423628544,2789,1
25,Single Session,Open Set,mantegna 2019,PSD+SVM,26,session_1,0.10869565217391305,0.23913043478260868,0.23913043478260868,0.03816747327110343,2789,1
26,Single Session,Open Set,mantegna 2019,PSD+SVM,27,session_1,0.20652173913043478,0.34782608695652173,0.34782608695652173,0.0521879751672024,2789,1
27,Single Session,Open Set,mantegna 2019,PSD+SVM,28,session_1,0.1956521739130435,0.2826086956521739,0.2826086956521739,0.04552592656187715,2789,1
28,Single Session,Open Set,mantegna 2019,PSD+SVM,29,session_1,0.1956521739130435,0.4891304347826087,0.4891304347826087,0.03641417365456849,2789,1
29,Single Session,Open Set,mantegna 2019,PSD+SVM,30,session_1,0.2065217391304348,0.4130434782608696,0.4130434782608696,0.05498822867659009,2789,1
30,Single Session,Open Set,mantegna 2019,PSD+SVM,31,session_1,0.26086956521739135,0.5978260869565217,0.5978260869565217,0.05469528960321433,2789,1
31,Single Session,Open Set,mantegna 2019,PSD+LR,1,session_1,0.2391304347826087,0.6086956521739131,0.6086956521739131,0.02550491217986597,2789,1
32,Single Session,Open Set,mantegna 2019,PSD+LR,2,session_1,0.0,0.08695652173913043,0.08695652173913043,0.0003549934844971657,2789,1
33,Single Session,Open Set,mantegna 2019,PSD+LR,3,session_1,0.05434782608695654,0.31521739130434784,0.31521739130434784,0.03469323705306521,2789,1
34,Single Session,Open Set,mantegna 2019,PSD+LR,4,session_1,0.7173913043478262,1.0,1.0,0.0956381101723438,2789,1
35,Single Session,Open Set,mantegna 2019,PSD+LR,5,session_1,0.5652173913043478,1.0,1.0,0.05249516990609924,2789,1
36,Single Session,Open Set,mantegna 2019,PSD+LR,6,session_1,0.34782608695652173,0.7637732122662841,0.7709425386179327,0.057051905102543585,2789,1
37,Single Session,Open Set,mantegna 2019,PSD+LR,7,session_1,0.5326086956521738,0.967391304347826,0.967391304347826,0.09767743071236551,2789,1
38,Single Session,Open Set,mantegna 2019,PSD+LR,8,session_1,0.25,0.7856629653253054,0.7926967313151392,0.02476104038243143,2789,1
39,Single Session,Open Set,mantegna 2019,PSD+LR,9,session_1,0.21739130434782608,0.7077770777707777,0.7164298816901212,0.019596920773059884,2789,1
40,Single Session,Open Set,mantegna 2019,PSD+LR,10,session_1,0.6521739130434783,0.8873967000539571,0.8909135830488739,0.07869018001125316,2789,1
41,Single Session,Open Set,mantegna 2019,PSD+LR,11,session_1,0.32608695652173914,0.782608695652174,0.782608695652174,0.03990495038828024,2789,1
42,Single Session,Open Set,mantegna 2019,PSD+LR,12,session_1,0.7608695652173914,0.8152173913043479,0.8152173913043479,0.09049845990404139,2789,1
43,Single Session,Open Set,mantegna 2019,PSD+LR,13,session_1,0.11956521739130435,0.45652173913043476,0.45652173913043476,0.03480150319380569,2789,1
44,Single Session,Open Set,mantegna 2019,PSD+LR,14,session_1,0.15217391304347824,0.8152173913043479,0.8152173913043479,0.038204095099078204,2789,1
45,Single Session,Open Set,mantegna 2019,PSD+LR,15,session_1,0.6304347826086957,0.9456521739130435,0.9456521739130435,0.055913016681826966,2789,1
46,Single Session,Open Set,mantegna 2019,PSD+LR,16,session_1,0.5652173913043479,0.9347826086956521,0.9347826086956521,0.043412949151186736,2789,1
47,Single Session,Open Set,mantegna 2019,PSD+LR,17,session_1,0.2608695652173913,0.7421847044557401,0.749218470445574,0.023914270311585287,2789,1
48,Single Session,Open Set,mantegna 2019,PSD+LR,18,session_1,0.6739130434782608,0.9782608695652174,0.9782608695652174,0.06261013881293917,2789,1
49,Single Session,Open Set,mantegna 2019,PSD+LR,19,session_1,0.21739130434782608,0.5760869565217391,0.5760869565217391,0.01657590123887489,2789,1
50,Single Session,Open Set,mantegna 2019,PSD+LR,20,session_1,0.7065217391304348,0.9782608695652174,0.9782608695652174,0.06563817343992588,2789,1
