,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.009930830039525686,0.035573122529644265,0.035573122529644265,0.004749511975440787,2789
1,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.010029644268774696,0.013339920948616593,0.013339920948616593,0.0050461684772567465,2789
2,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.019960474308300384,0.04535573122529643,0.04535573122529643,0.015158895680223983,2789
3,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.05889328063241106,0.17480237154150197,0.17480237154150197,0.04029224306260272,2789
4,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.0823616600790514,0.2033596837944664,0.2033596837944664,0.05977088234247814,2789
5,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.16581027667984188,0.2614624505928854,0.2614624505928854,0.02697750171533315,2789
6,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.18631422924901186,0.30177865612648225,0.30177865612648225,0.06035877104617193,2789
7,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.008893280632411071,0.04288537549407115,0.04288537549407115,0.00997580131125798,2789
8,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.06200592885375496,0.24273715415019764,0.24273715415019764,0.011822332453461534,2789
9,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.10844861660079053,0.3577569169960474,0.3577569169960474,0.050823491180185074,2789
10,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.02890316205533596,0.18493083003952568,0.18493083003952568,0.016045569480390813,2789
11,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.15810276679841898,0.4052865612648221,0.4052865612648221,0.037990850587599975,2789
12,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.0010869565217391298,0.01566205533596838,0.01566205533596838,0.000750599107744893,2789
13,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.10113636363636362,0.23349802371541503,0.23349802371541503,0.0427749311193614,2789
14,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.12519762845849805,0.46072134387351776,0.46072134387351776,0.04832545348601708,2789
15,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.0,0.012005928853754937,0.012005928853754937,0.00041691694601346573,2789
16,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,17,session_1,0.04990118577075098,0.1443181818181818,0.1443181818181818,0.03143719548433548,2789
17,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,18,session_1,0.09214426877470357,0.24125494071146245,0.24125494071146245,0.03975851891119316,2789
18,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,19,session_1,0.02208498023715414,0.04644268774703557,0.04644268774703557,0.02028560823858912,2789
19,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,20,session_1,0.03448616600790513,0.14125494071146244,0.14125494071146244,0.020839767194966646,2789
20,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,21,session_1,0.0201086956521739,0.22243083003952568,0.22243083003952568,0.014045798604855811,2789
21,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,22,session_1,0.05232213438735178,0.20192687747035576,0.20192687747035576,0.027581042237108288,2789
22,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,23,session_1,0.03547430830039526,0.1341403162055336,0.1341403162055336,0.017938249830922584,2789
23,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,24,session_1,0.0566699604743083,0.10652173913043479,0.10652173913043479,0.03180735247147798,2789
24,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,25,session_1,0.0367588932806324,0.07099802371541503,0.07099802371541503,0.028313564211222147,2789
25,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,26,session_1,0.002272727272727271,0.0044466403162055305,0.0044466403162055305,0.0013429683794674897,2789
26,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,27,session_1,0.03685770750988142,0.27267786561264823,0.27267786561264823,0.02055386222311349,2789
27,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,28,session_1,0.006669960474308298,0.032262845849802366,0.032262845849802366,0.003304792206900632,2789
28,Single Session,Close Set,mantegna 2019,AR+PSD+SVM,29,session_1,0.024357707509881414,0.1350296442687747,0.1350296442687747,0.01738002114616566,2789
