,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.021739130434782594,0.043478260869565216,0.043478260869565216,0.011265022245106077,2789
1,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.010869565217391297,0.010869565217391297,0.010869565217391297,0.009035513836955873,2789
2,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.04347826086956519,0.08695652173913046,0.08695652173913046,0.03920474452142244,2789
3,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.10869565217391305,0.32608695652173914,0.32608695652173914,0.048815250880505444,2789
4,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.06521739130434784,0.17391304347826086,0.17391304347826086,0.024521018419280033,2789
5,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.1630434782608696,0.40217391304347827,0.40217391304347827,0.06689874827014682,2789
6,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.2391304347826087,0.33695652173913043,0.33695652173913043,0.08914984355615677,2789
7,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.03260869565217392,0.08695652173913046,0.08695652173913046,0.02739544699107748,2789
8,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.16304347826086957,0.32608695652173914,0.32608695652173914,0.05048511805594172,2789
9,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.391304347826087,0.5434782608695652,0.5434782608695652,0.0884183740446686,2789
10,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.05434782608695654,0.3586956521739131,0.3586956521739131,0.020595468996820698,2789
11,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.29347826086956524,0.42391304347826086,0.42391304347826086,0.08198444562810506,2789
12,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.0,0.05434782608695651,0.05434782608695651,0.0033793103814974187,2789
13,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.25,0.32608695652173914,0.32608695652173914,0.055864122936438894,2789
14,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.18478260869565216,0.40217391304347827,0.40217391304347827,0.06288507832626185,2789
15,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.010869565217391297,0.021739130434782622,0.021739130434782622,0.003484235118273979,2789
16,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,17,session_1,0.11956521739130432,0.23913043478260868,0.23913043478260868,0.07608695652166587,2789
17,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,18,session_1,0.1630434782608696,0.3695652173913044,0.3695652173913044,0.0547963143759817,2789
18,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,19,session_1,0.010869565217391297,0.07608695652173911,0.07608695652173911,0.01161940080356234,2789
19,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,20,session_1,0.09782608695652173,0.33695652173913043,0.33695652173913043,0.03192047749495111,2789
20,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,21,session_1,0.05434782608695654,0.30434782608695654,0.30434782608695654,0.017718058548858103,2789
21,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,22,session_1,0.13043478260869565,0.27173913043478265,0.27173913043478265,0.05062168931530688,2789
22,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,23,session_1,0.043478260869565216,0.15217391304347824,0.15217391304347824,0.029674884568873156,2789
23,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,24,session_1,0.06521739130434784,0.10869565217391305,0.10869565217391305,0.04348076086956558,2789
24,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,25,session_1,0.06521739130434781,0.10869565217391305,0.10869565217391305,0.04348076086956804,2789
25,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,26,session_1,0.010869565217391297,0.05434782608695651,0.05434782608695651,0.006553718852539769,2789
