,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,mantegna 2019,siamese,4,session_1,0.022222222222222254,0.05555555555555558,0.2222222222222222,0.03498860144712063,2789,0
1,Single Session,Open Set,mantegna 2019,siamese,8,session_1,0.022222222222222254,0.09999999999999998,0.5,0.033333333333687404,2789,0
2,Single Session,Open Set,mantegna 2019,siamese,12,session_1,0.09999999999999998,0.5444444444444445,0.8333333333333334,0.09999999999999962,2789,0
3,Single Session,Open Set,mantegna 2019,siamese,16,session_1,0.0,0.011111111111111072,0.21111111111111114,0.011111111111254188,2789,0
4,Single Session,Open Set,mantegna 2019,siamese,20,session_1,0.0,0.022222222222222254,0.19999999999999996,0.015858856179998018,2789,0
5,Single Session,Open Set,mantegna 2019,siamese,24,session_1,0.23333333333333328,0.47777777777777775,0.7,0.1745465358311032,2789,0
6,Single Session,Open Set,mantegna 2019,siamese,28,session_1,0.022222222222222254,0.033333333333333326,0.2222222222222222,0.033333333333687404,2789,0
7,Single Session,Open Set,mantegna 2019,siamese,30,session_1,0.011111111111111072,0.1333333333333333,0.6444444444444444,0.03657448706512043,2789,0
8,Single Session,Open Set,mantegna 2019,siamese,5,session_1,0.07777777777777772,0.3666666666666667,0.7777777777777778,0.09363799283154121,2789,0
9,Single Session,Open Set,mantegna 2019,siamese,9,session_1,0.0,0.0444444444444444,0.4444444444444444,0.01744474179799782,2789,0
10,Single Session,Open Set,mantegna 2019,siamese,13,session_1,0.0,0.30000000000000004,0.34444444444444444,0.04926157200911884,2789,0
11,Single Session,Open Set,mantegna 2019,siamese,15,session_1,0.1444444444444445,0.8,0.9555555555555556,0.13333333333377625,2789,0
12,Single Session,Open Set,mantegna 2019,siamese,17,session_1,0.0,0.5111111111111111,0.7,0.05077658303464755,2789,0
13,Single Session,Open Set,mantegna 2019,siamese,21,session_1,0.011111111111111072,0.7666666666666666,0.9,0.08415594775152059,2789,0
14,Single Session,Open Set,mantegna 2019,siamese,25,session_1,0.0,0.2222222222222222,0.8,0.044444444444425885,2789,0
15,Single Session,Open Set,mantegna 2019,siamese,29,session_1,0.0,0.011111111111111072,0.07777777777777772,0.011111111111254188,2789,0
16,Single Session,Open Set,mantegna 2019,siamese,2,session_1,0.0,0.011111111111111072,0.022222222222222254,0.011111111111111183,2789,0
17,Single Session,Open Set,mantegna 2019,siamese,6,session_1,0.0,0.07777777777777772,0.4444444444444444,0.033303597977995834,2789,0
18,Single Session,Open Set,mantegna 2019,siamese,10,session_1,0.011111111111111072,0.05555555555555558,0.1333333333333333,0.0302668259657507,2789,0
19,Single Session,Open Set,mantegna 2019,siamese,14,session_1,0.0444444444444444,0.09999999999999998,0.3555555555555555,0.05555555555555562,2789,0
20,Single Session,Open Set,mantegna 2019,siamese,18,session_1,0.0,0.1333333333333333,0.4666666666666667,0.04291802953711964,2789,0
21,Single Session,Open Set,mantegna 2019,siamese,22,session_1,0.0,0.011111111111111072,0.022222222222222254,0.011111111111111183,2789,0
22,Single Session,Open Set,mantegna 2019,siamese,26,session_1,0.0,0.022222222222222254,0.07777777777777772,0.0112003171771236,2789,0
23,Single Session,Open Set,mantegna 2019,siamese,31,session_1,0.0,0.0,0.022471910112359605,0.0015930701448698163,2789,0
24,Single Session,Open Set,mantegna 2019,siamese,1,session_1,0.0,0.033333333333333326,0.09999999999999998,0.03333333333333762,2789,0
25,Single Session,Open Set,mantegna 2019,siamese,3,session_1,0.0,0.0444444444444444,0.07777777777777772,0.018535038160372684,2789,0
26,Single Session,Open Set,mantegna 2019,siamese,7,session_1,0.28888888888888886,0.8,0.9111111111111111,0.1647338685697294,2789,0
27,Single Session,Open Set,mantegna 2019,siamese,11,session_1,0.0,0.05555555555555558,0.18888888888888888,0.016684946987070827,2789,0
28,Single Session,Open Set,mantegna 2019,siamese,19,session_1,0.022222222222222254,0.21111111111111114,0.5777777777777777,0.055555555555376925,2789,0
29,Single Session,Open Set,mantegna 2019,siamese,23,session_1,0.0,0.0,0.0444444444444444,0.009217960154623847,2789,0
30,Single Session,Open Set,mantegna 2019,siamese,27,session_1,0.011111111111111072,0.09999999999999998,0.4,0.03142035880662107,2789,0
