,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,mantegna 2019,siamese,4,session_1,0.09999999999999998,0.34444444444444444,0.34444444444444444,0.04444444444468666,2789
1,Single Session,Open Set,mantegna 2019,siamese,8,session_1,0.1333333333333333,0.47777777777777775,0.47777777777777775,0.053961973843279484,2789
2,Single Session,Open Set,mantegna 2019,siamese,12,session_1,0.7111111111111111,0.9333333333333333,0.9333333333333333,0.12380980926974992,2789
3,Single Session,Open Set,mantegna 2019,siamese,16,session_1,0.022222222222222254,0.30000000000000004,0.30000000000000004,0.0174644566335961,2789
4,Single Session,Open Set,mantegna 2019,siamese,20,session_1,0.05555555555555558,0.15555555555555556,0.15555555555555556,0.028574568633915814,2789
5,Single Session,Open Set,mantegna 2019,siamese,24,session_1,0.5666666666666667,0.8444444444444444,0.8444444444444444,0.1333333333334908,2789
6,Single Session,Open Set,mantegna 2019,siamese,28,session_1,0.19999999999999996,0.4666666666666667,0.4666666666666667,0.04445043910919282,2789
7,Single Session,Open Set,mantegna 2019,siamese,30,session_1,0.28888888888888886,0.7111111111111111,0.7111111111111111,0.06666666666666662,2789
8,Single Session,Open Set,mantegna 2019,siamese,5,session_1,0.3666666666666667,0.6111111111111112,0.6111111111111112,0.0666666666666666,2789
9,Single Session,Open Set,mantegna 2019,siamese,9,session_1,0.06666666666666665,0.6555555555555556,0.6555555555555556,0.02063592019511415,2789
10,Single Session,Open Set,mantegna 2019,siamese,13,session_1,0.05555555555555558,0.0888888888888889,0.0888888888888889,0.03174174984264005,2789
11,Single Session,Open Set,mantegna 2019,siamese,15,session_1,0.5444444444444445,0.9333333333333333,0.9333333333333333,0.1333413262196645,2789
12,Single Session,Open Set,mantegna 2019,siamese,17,session_1,0.6111111111111112,0.8,0.8,0.0666606720019183,2789
13,Single Session,Open Set,mantegna 2019,siamese,21,session_1,0.7777777777777778,0.9,0.9,0.09999999999999994,2789
14,Single Session,Open Set,mantegna 2019,siamese,25,session_1,0.1777777777777778,0.7,0.7,0.044444444444443974,2789
15,Single Session,Open Set,mantegna 2019,siamese,29,session_1,0.011111111111111072,0.09999999999999998,0.09999999999999998,0.011111111111254188,2789
16,Single Session,Open Set,mantegna 2019,siamese,2,session_1,0.011111111111111072,0.011111111111111072,0.011111111111111072,0.011111111111111056,2789
17,Single Session,Open Set,mantegna 2019,siamese,6,session_1,0.09999999999999998,0.34444444444444444,0.34444444444444444,0.0333333333333333,2789
18,Single Session,Open Set,mantegna 2019,siamese,10,session_1,0.1333333333333333,0.28888888888888886,0.28888888888888886,0.03333333333333339,2789
19,Single Session,Open Set,mantegna 2019,siamese,14,session_1,0.16666666666666663,0.6222222222222222,0.6222222222222222,0.07154632377184306,2789
20,Single Session,Open Set,mantegna 2019,siamese,18,session_1,0.4,0.7666666666666666,0.7666666666666666,0.08888888888891072,2789
21,Single Session,Open Set,mantegna 2019,siamese,22,session_1,0.033333333333333326,0.5111111111111111,0.5111111111111111,0.01271940346247651,2789
22,Single Session,Open Set,mantegna 2019,siamese,26,session_1,0.0,0.6888888888888889,0.6888888888888889,0.006358156134720931,2789
23,Single Session,Open Set,mantegna 2019,siamese,31,session_1,0.022471910112359605,0.1348314606741573,0.1348314606741573,0.014287427064183518,2789
24,Single Session,Open Set,mantegna 2019,siamese,1,session_1,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.03333333333333762,2789
25,Single Session,Open Set,mantegna 2019,siamese,3,session_1,0.0444444444444444,0.05555555555555558,0.05555555555555558,0.01851352296456154,2789
26,Single Session,Open Set,mantegna 2019,siamese,7,session_1,0.21111111111111114,0.8888888888888888,0.8888888888888888,0.09259425852624845,2789
27,Single Session,Open Set,mantegna 2019,siamese,11,session_1,0.0,0.0,0.0,1e-05,2789
28,Single Session,Open Set,mantegna 2019,siamese,19,session_1,0.16666666666666663,0.8444444444444444,0.8444444444444444,0.04629962816360801,2789
29,Single Session,Open Set,mantegna 2019,siamese,23,session_1,0.022222222222222254,0.09999999999999998,0.09999999999999998,0.011120103108233671,2789
30,Single Session,Open Set,mantegna 2019,siamese,27,session_1,0.033333333333333326,0.09999999999999998,0.09999999999999998,0.014818479868857704,2789
