,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0,0.0,0.007499999999999979,0.0002866578430492826,12000,1
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.0,0.0,0.0022222222222222088,0.00010239419297483305,12000,1
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.0022222222222222365,0.003333333333333355,0.005555555555555536,0.0027809762132822583,12000,1
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0044444444444444176,0.00888888888888889,0.010000000000000009,0.0057226811941243055,12000,1
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.005555555555555564,0.0111111111111111,0.016666666666666635,0.0066195721583654525,12000,1
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.0022222222222222088,0.003333333333333327,0.013333333333333336,0.003769855523678695,12000,1
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.1277777777777778,0.25555555555555554,0.38111111111111107,0.046666666666583145,12000,1
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.016666666666666663,0.03666666666666665,0.04777777777777778,0.016669166666666707,12000,1
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0011111111111111183,0.0022222222222222365,0.0022222222222222365,0.0022272222222330844,12000,1
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0,1e-05,12000,1
10,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,11,session_1,0.0011111111111111183,0.0022222222222222088,0.004444444444444445,0.0016438290229885055,12000,1
11,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,12,session_1,0.026666666666666644,0.08222222222222225,0.13,0.019999999999981123,12000,1
12,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000,1
13,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,1,session_1,0.0,0.0,0.0008333333333333248,0.00010221679677763492,12000,1
14,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,2,session_1,0.27444444444444444,0.3077777777777778,0.44666666666666666,0.025990446207257302,12000,1
15,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,3,session_1,0.25,0.2511111111111111,0.2511111111111111,0.1394492445324052,12000,1
16,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,4,session_1,0.25,0.25,0.47555555555555556,0.011396258714048053,12000,1
17,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,5,session_1,0.7266666666666667,0.741111111111111,0.7477777777777778,0.21981626305559387,12000,1
18,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,6,session_1,0.2544444444444445,0.5011111111111111,0.5911111111111111,0.04091228791239681,12000,1
19,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,7,session_1,0.6766666666666667,0.7966666666666666,0.8622222222222222,0.22537988827801778,12000,1
20,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,8,session_1,0.2839259207406889,0.31550370318517995,0.4844392592074069,0.05740921551065989,12000,1
21,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,9,session_1,0.25,0.2511111111111111,0.5011111111111111,0.04213603245419813,12000,1
22,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,10,session_1,0.25,0.25,0.25,0.0739885873287101,12000,1
23,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,11,session_1,0.24860168093206356,0.24986016809320635,0.25109712792043176,0.07286616439042594,12000,1
24,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,12,session_1,0.25,0.4922222222222222,0.5366666666666666,0.08666776094647015,12000,1
25,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,13,session_1,0.0,0.0,0.0,1e-05,12000,1
26,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,1,session_1,0.0,0.025747757477574795,0.22757477574775747,0.0002868561422912151,12000,1
27,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,2,session_1,0.38686811908180807,0.5176846018860806,0.7267684601886081,0.02571979980855921,12000,1
28,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,3,session_1,0.24084159478678782,0.25119527058978985,0.25434174928120123,0.05015488346674346,12000,1
29,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,4,session_1,0.22508280730647837,0.24750828073064784,0.43225015306631476,0.02289517332766481,12000,1
30,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,5,session_1,0.689522773693299,0.7439522773693299,0.749395227736933,0.13119077105424498,12000,1
31,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LDA,6,session_1,0.2603702407394445,0.4519142228459322,0.5185247556179264,0.0452773072588684,12000,1
