,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0008333333333333248,0.0025000000000000022,0.007500000000000007,0.0018562895064877976,12000,1.0
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.0,0.0022222222222222365,0.0022222222222222365,0.0009603599936143038,12000,1.0
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.0022222222222222088,0.003333333333333327,0.003333333333333327,0.0022297222222222445,12000,1.0
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011186111111111162,12000,1.0
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.0044444444444444176,0.005555555555555536,0.00888888888888889,0.004449444444536821,12000,1.0
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.003333333333333327,0.006666666666666654,0.006666666666666654,0.004449444444443883,12000,1.0
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.13555555555555554,0.2566666666666667,0.3277777777777778,0.05222222222221597,12000,1.0
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.01999999999999999,0.06555555555555556,0.09444444444444444,0.016205505268196346,12000,1.0
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,12000,1.0
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0,1e-05,12000,1.0
10,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,11,session_1,0.0,0.0,0.0022222222222222088,0.00010239419297483305,12000,1.0
11,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,12,session_1,0.024444444444444408,0.06555555555555553,0.11222222222222222,0.019076069604086726,12000,1.0
12,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000,1.0
13,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,1,session_1,0.0,0.0,0.0008333333333333248,0.00010221679677763492,12000,1.0
14,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,2,session_1,0.2733333333333333,0.31,0.4444444444444444,0.024974753431272236,12000,1.0
15,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,3,session_1,0.25,0.25,0.25,0.14556305555555554,12000,1.0
16,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,4,session_1,0.25,0.25,0.4688888888888889,0.013341034832432224,12000,1.0
17,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,5,session_1,0.7033333333333334,0.7166666666666667,0.7233333333333334,0.2226683795795091,12000,1.0
18,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,6,session_1,0.4666666666666667,0.5166666666666666,0.7166666666666667,0.04648636161638437,12000,1.0
19,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,7,session_1,0.64,0.8477777777777777,0.9,0.22018588344117038,12000,1.0
20,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,8,session_1,0.3631851837036889,0.40442962948148,0.41999851850370357,0.08032943881824385,12000,1.0
