,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,Spot Pilot P300 dataset,siamese,1,session_1,0.0,0.0,0.0,0.0001,12000,1.2
1,Single Session,Open Set,Spot Pilot P300 dataset,siamese,3,session_1,0.0022222222222222365,0.0033333333333332993,0.0033333333333332993,0.003333333333337026,12000,1.2
2,Single Session,Open Set,Spot Pilot P300 dataset,siamese,7,session_1,0.0011111111111110628,0.004444444444444473,0.007777777777777772,0.0055555555555557,12000,1.2
3,Single Session,Open Set,Spot Pilot P300 dataset,siamese,2,session_1,0.0,0.0,0.0,0.0001,12000,1.2
4,Single Session,Open Set,Spot Pilot P300 dataset,siamese,6,session_1,0.0,0.0,0.0,0.0001,12000,1.2
5,Single Session,Open Set,Spot Pilot P300 dataset,siamese,10,session_1,0.0,0.0,0.0,0.0001,12000,1.2
6,Single Session,Open Set,Spot Pilot P300 dataset,siamese,13,session_1,0.0,0.0,0.0,0.0001,12000,1.2
7,Single Session,Open Set,Spot Pilot P300 dataset,siamese,5,session_1,0.0,0.0,0.0,0.0005505092210294437,12000,1.2
8,Single Session,Open Set,Spot Pilot P300 dataset,siamese,9,session_1,0.0,0.0,0.0,0.0001,12000,1.2
9,Single Session,Open Set,Spot Pilot P300 dataset,siamese,12,session_1,0.0011111111111110628,0.0011111111111110628,0.0011111111111110628,0.0011111111111156275,12000,1.2
10,Single Session,Open Set,Spot Pilot P300 dataset,siamese,4,session_1,0.0,0.0,0.0,0.0001,12000,1.2
11,Single Session,Open Set,Spot Pilot P300 dataset,siamese,8,session_1,0.0011111111111110628,0.004444444444444473,0.010000000000000009,0.004444444444445538,12000,1.2
12,Single Session,Open Set,Spot Pilot P300 dataset,siamese,11,session_1,0.0,0.0,0.0022222222222222365,0.00220203688411781,12000,1.2
