,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0008333333333333248,0.0025000000000000022,0.00833333333333336,0.001764025327263304,12000,0
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.004444444444444445,0.004444444444444445,0.005555555555555564,0.0034348227969348655,12000,0
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.0,0.0022222222222222365,0.0022222222222222365,0.0020315605044694328,12000,0
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0,0.0011111111111111183,0.0011111111111111183,0.0005637539910600256,12000,0
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.010000000000000009,0.014444444444444426,0.01999999999999999,0.008704996716169451,12000,0
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.0011111111111111183,0.004444444444444445,0.006666666666666682,0.0013755244252873615,12000,0
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.13444444444444445,0.24444444444444446,0.3188888888888889,0.04388709291187758,12000,0
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.010000000000000009,0.03222222222222221,0.053333333333333316,0.009999999999999312,12000,0
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0,0.0011111111111111183,0.0022222222222222365,0.00036918422733077914,12000,0
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0022222222222222088,0.00010239419297483305,12000,0
10,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,12000,0
11,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,12,session_1,0.02111111111111111,0.04999999999999999,0.09444444444444444,0.01666666666667737,12000,0
12,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,13,session_1,0.0,0.0011111111111111183,0.0011111111111111183,0.00028687420178799496,12000,0
13,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,1,session_1,0.0,0.0,0.0,1e-05,12000,0
14,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,2,session_1,0.2911111111111111,0.35444444444444445,0.4666666666666667,0.030168060153064103,12000,0
15,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,3,session_1,0.25,0.25,0.25,0.14621017082483706,12000,0
16,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,4,session_1,0.25,0.25,0.48,0.014174584724634016,12000,0
17,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,5,session_1,0.7033333333333334,0.7277777777777777,0.7422222222222222,0.21638868933588762,12000,0
18,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,6,session_1,0.2533333333333333,0.5,0.6111111111111112,0.040459495094986996,12000,0
19,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,7,session_1,0.66,0.8433333333333333,0.9122222222222223,0.22849100841024142,12000,0
