,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,mantegna 2019,siamese,2,session_1,0.0,0.0,0.0,0.0001,1493,100
1,Single Session,Open Set,mantegna 2019,siamese,4,session_1,0.06024096385542166,0.27710843373493976,0.27710843373493976,0.07228915662650663,1493,100
2,Single Session,Open Set,mantegna 2019,siamese,7,session_1,0.16393442622950816,0.2786885245901639,0.7213114754098361,0.12624254473161034,1493,100
3,Single Session,Open Set,mantegna 2019,siamese,14,session_1,0.02941176470588236,0.19117647058823528,0.2941176470588235,0.058823529411792,1493,100
4,Single Session,Open Set,mantegna 2019,siamese,24,session_1,0.2647058823529411,0.6176470588235294,0.7647058823529411,0.205882352941222,1493,100
5,Single Session,Open Set,mantegna 2019,siamese,28,session_1,0.0,0.0357142857142857,0.1428571428571429,0.026328911937768026,1493,100
6,Single Session,Open Set,mantegna 2019,siamese,31,session_1,0.011363636363636354,0.09090909090909094,0.125,0.02489612763835799,1493,100
7,Single Session,Open Set,mantegna 2019,siamese,1,session_1,0.01851851851851849,0.05555555555555558,0.20370370370370372,0.03441758679001294,1493,100
8,Single Session,Open Set,mantegna 2019,siamese,5,session_1,0.0,0.13749999999999996,0.5875,0.0249999999999058,1493,100
9,Single Session,Open Set,mantegna 2019,siamese,8,session_1,0.01388888888888884,0.2222222222222222,0.5416666666666667,0.05318458620345413,1493,100
10,Single Session,Open Set,mantegna 2019,siamese,13,session_1,0.0,0.04166666666666663,0.08333333333333337,0.025740796168811735,1493,100
11,Single Session,Open Set,mantegna 2019,siamese,15,session_1,0.07692307692307687,0.23076923076923073,0.23076923076923073,0.07692307692340074,1493,100
12,Single Session,Open Set,mantegna 2019,siamese,18,session_1,0.023809523809523836,0.30952380952380953,0.5,0.0332636191614381,1493,100
13,Single Session,Open Set,mantegna 2019,siamese,29,session_1,0.0,0.05681818181818177,0.05681818181818177,0.022727272727272665,1493,100
14,Single Session,Open Set,mantegna 2019,siamese,3,session_1,0.0,0.022727272727272707,0.022727272727272707,0.011363636363636381,1493,100
15,Single Session,Open Set,mantegna 2019,siamese,10,session_1,0.0,0.2911392405063291,0.5063291139240507,0.02719529810230612,1493,100
16,Single Session,Open Set,mantegna 2019,siamese,19,session_1,0.06818181818181823,0.25,0.34090909090909094,0.0681818181818182,1493,100
17,Single Session,Open Set,mantegna 2019,siamese,23,session_1,0.0,0.26315789473684215,0.7894736842105263,0.01976442403673388,1493,100
18,Single Session,Open Set,mantegna 2019,siamese,25,session_1,0.0,0.6666666666666667,1.0,0.05555555555555552,1493,100
19,Single Session,Open Set,mantegna 2019,siamese,26,session_1,0.0,0.020000000000000018,0.07999999999999996,0.015424420340332373,1493,100
20,Single Session,Open Set,mantegna 2019,siamese,30,session_1,0.06578947368421051,0.5921052631578947,0.6578947368421053,0.08387096774193549,1493,100
21,Single Session,Open Set,mantegna 2019,siamese,11,session_1,0.0,0.2857142857142857,0.4285714285714286,0.016295926018495378,1493,100
22,Single Session,Open Set,mantegna 2019,siamese,12,session_1,0.1527777777777778,0.5694444444444444,0.9444444444444444,0.15132558832290735,1493,100
23,Single Session,Open Set,mantegna 2019,siamese,16,session_1,0.023809523809523836,0.08333333333333337,0.7380952380952381,0.03425953590279853,1493,100
24,Single Session,Open Set,mantegna 2019,siamese,17,session_1,0.1428571428571429,0.1428571428571429,0.5714285714285714,0.14285714285704518,1493,100
25,Single Session,Open Set,mantegna 2019,siamese,20,session_1,0.0,0.2068965517241379,0.3448275862068966,0.04896290386916633,1493,100
26,Single Session,Open Set,mantegna 2019,siamese,21,session_1,0.019230769230769273,0.46153846153846156,0.5576923076923077,0.09252810665605413,1493,100
27,Single Session,Open Set,mantegna 2019,siamese,22,session_1,0.02564102564102566,0.3076923076923077,0.4871794871794872,0.08906156604901376,1493,100
28,Single Session,Open Set,mantegna 2019,siamese,27,session_1,0.09302325581395354,0.16279069767441856,0.2790697674418605,0.09310857709469508,1493,100
