,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,1,session_1,0.0025000000000000022,0.009166666666666684,0.025833333333333347,0.004540146524946858,12000,1
1,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,2,session_1,0.0011111111111111183,0.0022222222222222088,0.003333333333333327,0.0011186111111111162,12000,1
2,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,3,session_1,0.0,0.004444444444444445,0.012222222222222245,0.001634943326947083,12000,1
3,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,4,session_1,0.003333333333333327,0.005555555555555564,0.0077777777777778,0.003525408684548221,12000,1
4,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,5,session_1,0.060000000000000026,0.40111111111111114,0.46111111111111114,0.023572573889739375,12000,1
5,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,6,session_1,0.017777777777777753,0.07777777777777775,0.1011111111111111,0.013426225255428064,12000,1
6,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,7,session_1,0.4611111111111111,0.7533333333333333,0.8077777777777778,0.10092353128991058,12000,1
7,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,8,session_1,0.24251071428463203,0.2644732936506854,0.27322510714284637,0.03991421242322886,12000,1
8,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,9,session_1,0.0011111111111111183,0.0022222222222222365,0.003333333333333355,0.001764652777777783,12000,1
9,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,10,session_1,0.0,0.0,0.0,1e-05,12000,1
10,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,11,session_1,0.0,0.0011111111111111183,0.003333333333333327,0.0011186111111105566,12000,1
11,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,12,session_1,0.05666666666666664,0.28888888888888886,0.31666666666666665,0.018888888888933773,12000,1
12,Single Session,Open Set,Spot Pilot P300 dataset,PSD+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000,1
13,Single Session,Open Set,Spot Pilot P300 dataset,PSD+LR,1,session_1,0.0,0.0,0.043333333333333335,0.00037937263374222097,12000,1
