,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0,0.001916666666666658,0.002749999999999994,0.0014220009247582718,12000
1,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.0,0.00022222222222222088,0.0011111111111111126,0.00019270665176055482,12000
2,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.00011111111111111182,0.001333333333333342,0.0017777777777777865,0.0011811382503201498,12000
3,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0,0.0,0.0016666666666666635,0.00015372386995755478,12000
4,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.0004444444444444473,0.0023333333333333374,0.0037777777777777744,0.0014028582375498998,12000
5,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.0011111111111111154,0.0043333333333333305,0.005222222222222217,0.0030516809546638716,12000
6,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.0068888888888888776,0.012444444444444433,0.01777777777777777,0.007706064821437847,12000
7,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.0,0.002888888888888888,0.004555555555555551,0.0016035571677743797,12000
8,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0,0.00022222222222222088,0.0004444444444444445,6.390818776575613e-05,12000
9,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0004444444444444473,4.591730523627076e-05,12000
10,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,11,session_1,0.0,0.0,0.00011111111111111182,1.8979326309067687e-05,12000
11,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,12,session_1,0.003888888888888886,0.021333333333333322,0.050111111111111106,0.006153597649675704,12000
12,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000
13,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,1,session_1,0.0,0.0,0.0,1e-05,12000
14,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,2,session_1,0.0,0.0,0.01055555555555556,9.997680440110164e-05,12000
15,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,3,session_1,0.0,0.0,0.0,1e-05,12000
16,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,4,session_1,0.0,0.0,0.2293333333333333,9.99999124160893e-05,12000
17,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,5,session_1,0.0,0.0008888888888888919,0.2006666666666667,0.0003963897418980546,12000
18,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,6,session_1,0.00011111111111111182,0.0007777777777777828,0.025333333333333336,0.0005820552167593526,12000
19,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,7,session_1,0.0,0.0031111111111111144,0.007666666666666658,0.0017768620980388502,12000
20,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,8,session_1,0.0,0.0,0.0010000000000000009,1.899778053267216e-05,12000
21,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,9,session_1,0.0,0.0,0.0011111111111111154,7.287085005146727e-05,12000
22,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,10,session_1,0.0,0.0,0.010888888888888884,9.997844049903698e-05,12000
23,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,11,session_1,0.0,0.0,0.0,1e-05,12000
24,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,12,session_1,0.0,0.0,0.25155555555555553,0.00021679975721455714,12000
25,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LR,13,session_1,0.0,0.0,0.0,1e-05,12000
26,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,1,session_1,0.0,0.0,0.1828143281432814,0.00010211179150165027,12000
27,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,2,session_1,0.0,0.0,0.0023333333333333288,9.987798219546597e-05,12000
28,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,3,session_1,0.0,0.0,0.0,1e-05,12000
29,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,4,session_1,0.0,0.0,0.18062430624306242,9.90759157591575e-05,12000
30,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,5,session_1,0.0,0.0008888888888888946,0.19256441231078977,0.0005938014850816565,12000
31,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,6,session_1,0.0,0.0,0.0,1e-05,12000
32,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,7,session_1,0.0003333333333333355,0.0020000000000000018,0.004333333333333328,0.0014059936283355727,12000
33,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,8,session_1,0.0,0.0,0.0021111111111111135,9.985262112004088e-05,12000
34,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,9,session_1,0.0,0.0,0.00022222222222222364,2.795865261813538e-05,12000
35,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,10,session_1,0.0,0.0,0.0,1e-05,12000
36,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,11,session_1,0.0,0.0,0.16968499684996852,9.99887700425326e-05,12000
37,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,12,session_1,0.0,0.004999999999999996,0.1796870168701687,0.0008635699606942482,12000
38,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+LDA,13,session_1,0.0,0.0,0.0,1e-05,12000
39,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,1,session_1,0.00841666666666667,0.06504140791407916,0.7020570080700808,0.008195112023103125,12000
40,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,2,session_1,0.5251545404055425,0.9525154540405542,0.9952515454040555,0.0428888888888678,12000
41,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,3,session_1,0.9103164154879355,0.9910316415487935,0.9991031641548794,0.10058487172823635,12000
42,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,4,session_1,0.0,0.019061690616906175,0.4086553365533655,0.00034876619231056946,12000
43,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,5,session_1,0.9224397901453457,0.9922439790145345,0.9992243979014536,0.11456409297098902,12000
44,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,6,session_1,0.1743912886791248,0.9165170525141955,0.9916517052514194,0.02679315280420032,12000
45,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,7,session_1,0.944227200154037,0.9944227200154037,0.9994422720015403,0.1540542603431306,12000
46,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,8,session_1,0.8650540416378052,0.9865054041637805,0.9986505404163779,0.07032552406423784,12000
47,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,9,session_1,0.9129130335795429,0.9912913033579542,0.9991291303357954,0.10391584412305051,12000
48,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,10,session_1,0.002666070852802871,0.002999999999999997,0.18398208648753153,0.002814420375766313,12000
49,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,11,session_1,0.853154466571619,0.9853154466571619,0.9985315446657161,0.0639509553193269,12000
50,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,12,session_1,0.7242354550928741,0.9724235455092873,0.9972423545509287,0.07424914853019568,12000
51,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+NB,13,session_1,0.00644444444444445,0.015360422493113816,0.45542070976265325,0.007333850175252683,12000
52,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,1,session_1,0.001575641370618447,0.02022163976996915,0.3997176543194003,0.0036984029171454073,12000
53,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,2,session_1,0.0045180224112212454,0.00811366149901821,0.014199279334063158,0.005145672172498507,12000
54,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,3,session_1,0.003415242223584092,0.005163644485807667,0.0077360797152944945,0.0039313678764260574,12000
55,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,4,session_1,0.0013207536919567719,0.0014773867522400535,0.004820565983437613,0.0015202276423691903,12000
56,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,5,session_1,0.006824915277579097,0.028353684312321454,0.05046070087685005,0.008677502556080546,12000
57,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,6,session_1,0.0052232532396866566,0.020837312904875074,0.31875728947765664,0.0064796983707082366,12000
58,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,7,session_1,0.04007439781651449,0.1076304767730217,0.5829405942472123,0.023460749945693474,12000
59,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,8,session_1,0.004626947874286513,0.009615045280121548,0.06938087603098253,0.005085902777626769,12000
60,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,9,session_1,0.005101723820518714,0.02289383719442874,0.12545413398578428,0.006955864352268007,12000
61,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,10,session_1,0.0,0.0,0.18062430624306242,9.90759157591575e-05,12000
62,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,11,session_1,0.0019820239247852365,0.0028785696664564457,0.008446572243500197,0.002476328205816226,12000
63,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,12,session_1,0.01893706931510769,0.3431759918551567,0.8849026123991399,0.014622544111014818,12000
64,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+KNN,13,session_1,0.0,0.0,0.0,1e-05,12000
65,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+RF,1,session_1,0.0,0.0,0.0,1e-05,12000
66,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+RF,2,session_1,0.0,0.0,0.0,1e-05,12000
67,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+RF,3,session_1,0.0010128772948486049,0.0011111111111111183,0.001333333333333342,0.0011399296321195015,12000
68,Single Session,Close Set,Spot Pilot P300 dataset,AR+PSD+RF,4,session_1,0.0,0.0,0.0,1e-05,12000
