,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0,0.0025000000000000022,0.011666666666666659,0.0013941639248646566,12000
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.0022222222222222088,0.004444444444444445,0.004444444444444445,0.0022297222222210896,12000
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.003333333333333327,0.003333333333333327,0.004444444444444445,0.003502958971902965,12000
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0011111111111111183,0.003333333333333327,0.004444444444444445,0.0015331461170794613,12000
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.003333333333333355,0.006666666666666654,0.017777777777777753,0.004167863984667739,12000
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.006666666666666654,0.009999999999999981,0.013333333333333336,0.0066691666666665265,12000
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.13555555555555554,0.26222222222222225,0.3511111111111111,0.047962663633380566,12000
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.017777777777777753,0.05777777777777776,0.07777777777777778,0.012503597541507023,12000
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0022222222222222088,0.003333333333333327,0.003333333333333327,0.0022297222222220723,12000
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0,1e-05,12000
10,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,11,session_1,0.0011111111111111183,0.0011111111111111183,0.003333333333333327,0.0011186111111111162,12000
11,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,12,session_1,0.033333333333333326,0.07888888888888887,0.15111111111111108,0.019906210089405196,12000
12,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,13,session_1,0.0,0.0,0.0,1e-05,12000
13,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,1,session_1,0.0,0.0,0.0,1e-05,12000
14,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,2,session_1,0.32,0.37555555555555553,0.49,0.029439424729129506,12000
15,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,3,session_1,0.25,0.25,0.25,0.1450080122170001,12000
16,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,4,session_1,0.25,0.25,0.4522222222222222,0.009912808493829098,12000
17,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,5,session_1,0.7333333333333334,0.7444444444444445,0.7477777777777778,0.21880072624300487,12000
18,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,6,session_1,0.2588888888888889,0.5011111111111111,0.64,0.04138623404726927,12000
19,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+LR,7,session_1,0.6188888888888888,0.808888888888889,0.8711111111111112,0.22525830882929335,12000
