,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,won 2022,AR+PSD+SVM,1,session_1,0.22,0.28,0.36,0.029440801365823832,11000,1
1,Single Session,Open Set,won 2022,AR+PSD+SVM,2,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.003668205029535527,11000,1
2,Single Session,Open Set,won 2022,AR+PSD+SVM,3,session_1,0.020000000000000018,0.08000000000000002,0.17500000000000002,0.011444343496693,11000,1
3,Single Session,Open Set,won 2022,AR+PSD+SVM,4,session_1,0.22499999999999998,0.615,0.715,0.05490269767813887,11000,1
4,Single Session,Open Set,won 2022,AR+PSD+SVM,5,session_1,0.0,0.010000000000000009,0.04000000000000001,0.0031110174484713007,11000,1
5,Single Session,Open Set,won 2022,AR+PSD+SVM,6,session_1,0.2599985999859999,0.29500000000000004,0.36,0.04254385964912918,11000,1
6,Single Session,Open Set,won 2022,AR+PSD+SVM,7,session_1,0.04500000000000004,0.18500000000000003,0.495,0.024997551199914606,11000,1
7,Single Session,Open Set,won 2022,AR+PSD+SVM,8,session_1,0.0,0.015000000000000013,0.015000000000000013,0.0008521523791381095,11000,1
8,Single Session,Open Set,won 2022,AR+PSD+SVM,9,session_1,0.155,0.42000000000000004,0.5700000000000001,0.045280162720253224,11000,1
9,Single Session,Open Set,won 2022,AR+PSD+SVM,10,session_1,0.11499999999999999,0.27,0.385,0.040000000000003186,11000,1
10,Single Session,Open Set,won 2022,AR+PSD+SVM,11,session_1,0.0050000000000000044,0.035,0.04500000000000001,0.006541745769575412,11000,1
11,Single Session,Open Set,won 2022,AR+PSD+SVM,12,session_1,0.025000000000000022,0.30500000000000005,0.43999999999999995,0.02000000000000641,11000,1
12,Single Session,Open Set,won 2022,AR+PSD+SVM,13,session_1,0.05000000000000002,0.18,0.23500000000000001,0.020130036282221736,11000,1
13,Single Session,Open Set,won 2022,AR+PSD+SVM,14,session_1,0.09000000000000002,0.29000000000000004,0.445,0.023910894469856205,11000,1
14,Single Session,Open Set,won 2022,AR+PSD+SVM,15,session_1,0.06,0.13,0.18000000000000002,0.03303631343141861,11000,1
15,Single Session,Open Set,won 2022,AR+PSD+SVM,16,session_1,0.010000000000000009,0.06,0.09000000000000002,0.005902225702606897,11000,1
16,Single Session,Open Set,won 2022,AR+PSD+SVM,17,session_1,0.03,0.07500000000000001,0.21000000000000002,0.020269867764728645,11000,1
17,Single Session,Open Set,won 2022,AR+PSD+SVM,18,session_1,0.025000000000000022,0.08000000000000002,0.1,0.02210401903067748,11000,1
18,Single Session,Open Set,won 2022,AR+PSD+SVM,19,session_1,0.030000000000000027,0.18000000000000002,0.31,0.02026993521546893,11000,1
19,Single Session,Open Set,won 2022,AR+PSD+SVM,20,session_1,0.0,0.0050000000000000044,0.0050000000000000044,0.00045478083239212783,11000,1
20,Single Session,Open Set,won 2022,AR+PSD+SVM,21,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.005452280832392142,11000,1
21,Single Session,Open Set,won 2022,AR+PSD+SVM,22,session_1,0.0,0.07,0.16,0.002756149486751492,11000,1
22,Single Session,Open Set,won 2022,AR+PSD+SVM,23,session_1,0.125,0.29500000000000004,0.43,0.052144049415790955,11000,1
23,Single Session,Open Set,won 2022,AR+PSD+SVM,24,session_1,0.010000000000000009,0.015000000000000013,0.020000000000000018,0.0042629123979250165,11000,1
24,Single Session,Open Set,won 2022,AR+PSD+SVM,25,session_1,0.06499999999999997,0.18999999999999997,0.24,0.0349999999997683,11000,1
25,Single Session,Open Set,won 2022,AR+PSD+SVM,26,session_1,0.020000000000000018,0.08000000000000002,0.11500000000000002,0.018365850733148267,11000,1
26,Single Session,Open Set,won 2022,AR+PSD+SVM,27,session_1,0.024999999999999994,0.12,0.14,0.009467813221527831,11000,1
27,Single Session,Open Set,won 2022,AR+PSD+SVM,28,session_1,0.015000000000000013,0.065,0.24000000000000002,0.013925626443042922,11000,1
28,Single Session,Open Set,won 2022,AR+PSD+SVM,29,session_1,0.09000000000000002,0.17,0.27,0.03589471159132277,11000,1
29,Single Session,Open Set,won 2022,AR+PSD+SVM,30,session_1,0.0050000000000000044,0.025000000000000022,0.04000000000000001,0.003700809649328775,11000,1
30,Single Session,Open Set,won 2022,AR+PSD+SVM,31,session_1,0.05500000000000002,0.165,0.31500000000000006,0.030289907945113492,11000,1
31,Single Session,Open Set,won 2022,AR+PSD+SVM,32,session_1,0.10500000000000001,0.29000000000000004,0.35,0.02395450823044412,11000,1
32,Single Session,Open Set,won 2022,AR+PSD+SVM,33,session_1,0.0,0.0050000000000000044,0.0050000000000000044,0.0006321938999890054,11000,1
33,Single Session,Open Set,won 2022,AR+PSD+SVM,34,session_1,0.0,0.015000000000000013,0.060000000000000026,0.0026087722650429,11000,1
34,Single Session,Open Set,won 2022,AR+PSD+SVM,35,session_1,0.015000000000000013,0.08000000000000002,0.16,0.014617738533121287,11000,1
35,Single Session,Open Set,won 2022,AR+PSD+SVM,36,session_1,0.020000000000000018,0.09500000000000003,0.18,0.013441025745541128,11000,1
36,Single Session,Open Set,won 2022,AR+PSD+SVM,37,session_1,0.020000000000000018,0.060000000000000026,0.08999999999999997,0.015779717938210293,11000,1
37,Single Session,Open Set,won 2022,AR+PSD+SVM,38,session_1,0.010000000000000009,0.065,0.13,0.01198153027508581,11000,1
38,Single Session,Open Set,won 2022,AR+PSD+SVM,39,session_1,0.0,0.010000000000000009,0.020000000000000018,0.0027436568331517556,11000,1
39,Single Session,Open Set,won 2022,AR+PSD+SVM,40,session_1,0.0050000000000000044,0.024999999999999994,0.11499999999999999,0.00617692453197934,11000,1
40,Single Session,Open Set,won 2022,AR+PSD+SVM,41,session_1,0.07,0.245,0.275,0.034188147807574336,11000,1
41,Single Session,Open Set,won 2022,AR+PSD+SVM,42,session_1,0.015000000000000013,0.13499999999999998,0.29500000000000004,0.012471339043868514,11000,1
42,Single Session,Open Set,won 2022,AR+PSD+SVM,43,session_1,0.040000000000000036,0.08499999999999999,0.13000000000000003,0.03500000000000815,11000,1
43,Single Session,Open Set,won 2022,AR+PSD+SVM,44,session_1,0.0,0.0,0.0,1e-05,11000,1
44,Single Session,Open Set,won 2022,AR+PSD+SVM,45,session_1,0.060000000000000026,0.20500000000000002,0.32499999999999996,0.026161980629491936,11000,1
45,Single Session,Open Set,won 2022,AR+PSD+SVM,46,session_1,0.0,0.0,0.0,1e-05,11000,1
46,Single Session,Open Set,won 2022,AR+PSD+SVM,47,session_1,0.015000000000000013,0.020000000000000018,0.020000000000000018,0.012236406610760725,11000,1
47,Single Session,Open Set,won 2022,AR+PSD+SVM,48,session_1,0.020000000000000018,0.05500000000000002,0.11500000000000002,0.010584763465901727,11000,1
48,Single Session,Open Set,won 2022,AR+PSD+SVM,49,session_1,0.010000000000000009,0.015000000000000013,0.03500000000000003,0.011861637797481738,11000,1
49,Single Session,Open Set,won 2022,AR+PSD+SVM,50,session_1,0.04999999999999999,0.21000000000000002,0.265,0.016150806746793478,11000,1
50,Single Session,Open Set,won 2022,AR+PSD+SVM,51,session_1,0.05000000000000002,0.255,0.33499999999999996,0.03706367915865827,11000,1
51,Single Session,Open Set,won 2022,AR+PSD+SVM,52,session_1,0.030000000000000027,0.04500000000000004,0.05500000000000002,0.018750762126557997,11000,1
52,Single Session,Open Set,won 2022,AR+PSD+SVM,53,session_1,0.0,0.0,0.0,1e-05,11000,1
53,Single Session,Open Set,won 2022,AR+PSD+SVM,54,session_1,0.020000000000000018,0.07999999999999999,0.30000000000000004,0.00940791449105079,11000,1
54,Single Session,Open Set,won 2022,AR+PSD+SVM,55,session_1,0.155,0.485,0.6,0.04499760117534622,11000,1
55,Single Session,Open Set,won 2022,AR+PSD+LR,1,session_1,0.5700000000000001,0.745,0.76,0.04370016616386572,11000,1
56,Single Session,Open Set,won 2022,AR+PSD+LR,2,session_1,0.0,0.07,0.24859998599986,0.0003649588922273939,11000,1
57,Single Session,Open Set,won 2022,AR+PSD+LR,3,session_1,0.015000000000000013,0.535,0.91,0.00971043245536074,11000,1
58,Single Session,Open Set,won 2022,AR+PSD+LR,4,session_1,0.57,0.9450000000000001,0.975,0.05691211306459834,11000,1
59,Single Session,Open Set,won 2022,AR+PSD+LR,5,session_1,0.0,0.015000000000000013,0.43,0.0006697993166766658,11000,1
60,Single Session,Open Set,won 2022,AR+PSD+LR,6,session_1,0.3749985999859999,0.6309998599986,0.99,0.04395595787066721,11000,1
61,Single Session,Open Set,won 2022,AR+PSD+LR,7,session_1,0.5549999999999999,0.98,1.0,0.06613994142869994,11000,1
62,Single Session,Open Set,won 2022,AR+PSD+LR,8,session_1,0.0,0.0,0.485,0.0002749999425532281,11000,1
63,Single Session,Open Set,won 2022,AR+PSD+LR,9,session_1,0.62,0.995,1.0,0.07526771881786332,11000,1
64,Single Session,Open Set,won 2022,AR+PSD+LR,10,session_1,0.63,0.965,0.97,0.04965806754690214,11000,1
65,Single Session,Open Set,won 2022,AR+PSD+LR,11,session_1,0.365,0.53,0.6835999859998599,0.03496726385841699,11000,1
