,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,won 2022,AR+PSD+SVM,1,session_1,0.255,0.32000000000000006,0.35,0.049762586144110395,11000,1.0
1,Single Session,Open Set,won 2022,AR+PSD+SVM,2,session_1,0.010555503703185198,0.015000000000000013,0.015000000000000013,0.00849897590361447,11000,1.0
2,Single Session,Open Set,won 2022,AR+PSD+SVM,3,session_1,0.0,0.07500000000000001,0.19,0.0036785824342999746,11000,1.0
3,Single Session,Open Set,won 2022,AR+PSD+SVM,4,session_1,0.20500000000000002,0.5,0.655,0.04562474387550611,11000,1.0
4,Single Session,Open Set,won 2022,AR+PSD+SVM,5,session_1,0.015000000000000013,0.015000000000000013,0.024999999999999994,0.010007500000000006,11000,1.0
5,Single Session,Open Set,won 2022,AR+PSD+SVM,6,session_1,0.225,0.32999999999999996,0.39,0.03289873575982877,11000,1.0
6,Single Session,Open Set,won 2022,AR+PSD+SVM,7,session_1,0.05000000000000002,0.19000000000000003,0.36,0.021874081699966963,11000,1.0
7,Single Session,Open Set,won 2022,AR+PSD+SVM,8,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.006254387799978025,11000,1.0
8,Single Session,Open Set,won 2022,AR+PSD+SVM,9,session_1,0.12500000000000003,0.37999999999999995,0.47,0.03571474977261693,11000,1.0
9,Single Session,Open Set,won 2022,AR+PSD+SVM,10,session_1,0.155,0.29000000000000004,0.38,0.04824875810852683,11000,1.0
10,Single Session,Open Set,won 2022,AR+PSD+SVM,11,session_1,0.020000000000000018,0.05000000000000002,0.1,0.010814684524494632,11000,1.0
11,Single Session,Open Set,won 2022,AR+PSD+SVM,12,session_1,0.07000000000000003,0.27,0.42500000000000004,0.028860758228474444,11000,1.0
12,Single Session,Open Set,won 2022,AR+PSD+SVM,13,session_1,0.04000000000000001,0.14,0.22499999999999998,0.022806224949774637,11000,1.0
13,Single Session,Open Set,won 2022,AR+PSD+SVM,14,session_1,0.08000000000000002,0.245,0.37,0.03446281322152625,11000,1.0
14,Single Session,Open Set,won 2022,AR+PSD+SVM,15,session_1,0.065,0.15,0.23500000000000001,0.02866325622945661,11000,1.0
15,Single Session,Open Set,won 2022,AR+PSD+SVM,16,session_1,0.010000000000000009,0.065,0.08500000000000002,0.009597797079431078,11000,1.0
16,Single Session,Open Set,won 2022,AR+PSD+SVM,17,session_1,0.025000000000000022,0.15500000000000003,0.28500000000000003,0.01941033893392244,11000,1.0
17,Single Session,Open Set,won 2022,AR+PSD+SVM,18,session_1,0.020000000000000018,0.06500000000000003,0.07500000000000001,0.015002500000005026,11000,1.0
18,Single Session,Open Set,won 2022,AR+PSD+SVM,19,session_1,0.025000000000000022,0.13500000000000004,0.26,0.016404361862689794,11000,1.0
19,Single Session,Open Set,won 2022,AR+PSD+SVM,20,session_1,0.0,0.0050000000000000044,0.0050000000000000044,0.0003648249107937111,11000,1.0
20,Single Session,Open Set,won 2022,AR+PSD+SVM,21,session_1,0.0,0.0050000000000000044,0.010000000000000009,0.002026509460364421,11000,1.0
