,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,won 2022,siamese,3,session_1,0.0,0.0,0.0050000000000000044,0.00117658593979802,11000,1.2
1,Single Session,Open Set,won 2022,siamese,7,session_1,0.0,0.020000000000000018,0.16500000000000004,0.015000000000000045,11000,1.2
2,Single Session,Open Set,won 2022,siamese,11,session_1,0.0,0.0,0.0,0.0003960788196851169,11000,1.2
3,Single Session,Open Set,won 2022,siamese,15,session_1,0.0,0.0,0.0,0.0007921576393702343,11000,1.2
4,Single Session,Open Set,won 2022,siamese,19,session_1,0.0,0.020000000000000018,0.05500000000000005,0.011961957054613198,11000,1.2
5,Single Session,Open Set,won 2022,siamese,23,session_1,0.0050000000000000044,0.010000000000000009,0.025000000000000022,0.010000000000000321,11000,1.2
6,Single Session,Open Set,won 2022,siamese,31,session_1,0.0,0.0050000000000000044,0.010000000000000009,0.008040003921953132,11000,1.2
7,Single Session,Open Set,won 2022,siamese,35,session_1,0.0,0.0,0.0,0.0001,11000,1.2
8,Single Session,Open Set,won 2022,siamese,39,session_1,0.0,0.0,0.0,0.0001,11000,1.2
9,Single Session,Open Set,won 2022,siamese,43,session_1,0.0050000000000000044,0.020000000000000018,0.03500000000000003,0.01500000000000004,11000,1.2
10,Single Session,Open Set,won 2022,siamese,47,session_1,0.0,0.010000000000000009,0.12,0.010000000000000033,11000,1.2
11,Single Session,Open Set,won 2022,siamese,51,session_1,0.0,0.030000000000000027,0.12,0.01990391214824983,11000,1.2
12,Single Session,Open Set,won 2022,siamese,54,session_1,0.0,0.0,0.0,0.0007843906265320131,11000,1.2
13,Single Session,Open Set,won 2022,siamese,55,session_1,0.0050000000000000044,0.06999999999999995,0.20499999999999996,0.02578684184723993,11000,1.2
14,Single Session,Open Set,won 2022,siamese,2,session_1,0.0,0.0,0.0050000000000000044,0.003431708991077556,11000,1.2
15,Single Session,Open Set,won 2022,siamese,6,session_1,0.0,0.0,0.0,0.0007843906265320131,11000,1.2
16,Single Session,Open Set,won 2022,siamese,10,session_1,0.0,0.0,0.0,0.0007843906265320131,11000,1.2
17,Single Session,Open Set,won 2022,siamese,13,session_1,0.0,0.03500000000000003,0.07499999999999996,0.024904402392391414,11000,1.2
18,Single Session,Open Set,won 2022,siamese,14,session_1,0.0,0.015000000000000013,0.030000000000000027,0.01500000000000004,11000,1.2
19,Single Session,Open Set,won 2022,siamese,18,session_1,0.0,0.020000000000000018,0.050000000000000044,0.01500000000000006,11000,1.2
20,Single Session,Open Set,won 2022,siamese,22,session_1,0.0050000000000000044,0.0050000000000000044,0.010000000000000009,0.0049999999999999975,11000,1.2
21,Single Session,Open Set,won 2022,siamese,30,session_1,0.0,0.0,0.0,0.0001,11000,1.2
22,Single Session,Open Set,won 2022,siamese,34,session_1,0.0,0.0,0.0,0.0001,11000,1.2
23,Single Session,Open Set,won 2022,siamese,38,session_1,0.0,0.0,0.0,0.0003998698296086593,11000,1.2
24,Single Session,Open Set,won 2022,siamese,41,session_1,0.0,0.015000000000000013,0.10499999999999998,0.011961957054613198,11000,1.2
25,Single Session,Open Set,won 2022,siamese,42,session_1,0.0050000000000000044,0.0050000000000000044,0.10499999999999998,0.006569271497205609,11000,1.2
26,Single Session,Open Set,won 2022,siamese,46,session_1,0.0,0.0,0.0050000000000000044,0.001960976566330032,11000,1.2
27,Single Session,Open Set,won 2022,siamese,50,session_1,0.0,0.0,0.040000000000000036,0.00500000000000003,11000,1.2
28,Single Session,Open Set,won 2022,siamese,1,session_1,0.0,0.0,0.0,0.0001,11000,1.2
29,Single Session,Open Set,won 2022,siamese,5,session_1,0.0,0.0,0.0,0.0001,11000,1.2
30,Single Session,Open Set,won 2022,siamese,9,session_1,0.0,0.010000000000000009,0.03500000000000003,0.01000000000040014,11000,1.2
31,Single Session,Open Set,won 2022,siamese,17,session_1,0.0,0.06999999999999995,0.20499999999999996,0.028826355525051476,11000,1.2
32,Single Session,Open Set,won 2022,siamese,21,session_1,0.0,0.0,0.0,0.0001,11000,1.2
33,Single Session,Open Set,won 2022,siamese,25,session_1,0.0,0.0,0.020000000000000018,0.001194148671509603,11000,1.2
34,Single Session,Open Set,won 2022,siamese,26,session_1,0.0,0.0050000000000000044,0.010000000000000009,0.00539268555740759,11000,1.2
35,Single Session,Open Set,won 2022,siamese,27,session_1,0.0,0.0,0.0,0.0001,11000,1.2
36,Single Session,Open Set,won 2022,siamese,29,session_1,0.0050000000000000044,0.015000000000000013,0.08499999999999996,0.01382488479262673,11000,1.2
37,Single Session,Open Set,won 2022,siamese,33,session_1,0.0,0.0,0.0,0.0001,11000,1.2
38,Single Session,Open Set,won 2022,siamese,37,session_1,0.0,0.22999999999999998,0.63,0.03500000000000041,11000,1.2
39,Single Session,Open Set,won 2022,siamese,45,session_1,0.0050000000000000044,0.14,0.385,0.03304245514266105,11000,1.2
40,Single Session,Open Set,won 2022,siamese,49,session_1,0.0,0.0,0.025000000000000022,0.0015687812530640263,11000,1.2
41,Single Session,Open Set,won 2022,siamese,53,session_1,0.0,0.0,0.0050000000000000044,0.0049999999999999845,11000,1.2
42,Single Session,Open Set,won 2022,siamese,4,session_1,0.0050000000000000044,0.030000000000000027,0.07499999999999996,0.024999999999960016,11000,1.2
43,Single Session,Open Set,won 2022,siamese,8,session_1,0.0,0.0,0.06999999999999995,0.007030399049410833,11000,1.2
44,Single Session,Open Set,won 2022,siamese,12,session_1,0.0,0.010000000000000009,0.22999999999999998,0.010000000000000347,11000,1.2
45,Single Session,Open Set,won 2022,siamese,16,session_1,0.0,0.0,0.0050000000000000044,0.002941464849495049,11000,1.2
46,Single Session,Open Set,won 2022,siamese,20,session_1,0.0,0.0,0.0,0.0001,11000,1.2
47,Single Session,Open Set,won 2022,siamese,24,session_1,0.0,0.0,0.0,0.000891177344291514,11000,1.2
48,Single Session,Open Set,won 2022,siamese,28,session_1,0.0,0.0,0.0,0.0008824394548485143,11000,1.2
49,Single Session,Open Set,won 2022,siamese,32,session_1,0.0,0.0,0.040000000000000036,0.0050004902441415835,11000,1.2
50,Single Session,Open Set,won 2022,siamese,36,session_1,0.0,0.0,0.0,0.0004902441415825078,11000,1.2
51,Single Session,Open Set,won 2022,siamese,40,session_1,0.0,0.0,0.015000000000000013,0.004510246102559074,11000,1.2
52,Single Session,Open Set,won 2022,siamese,44,session_1,0.0,0.0,0.0,0.0004902441415825078,11000,1.2
53,Single Session,Open Set,won 2022,siamese,48,session_1,0.0,0.0,0.010000000000000009,0.0049999999999999845,11000,1.2
54,Single Session,Open Set,won 2022,siamese,52,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.010000000000000012,11000,1.2
