,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,won 2022,AR+PSD+SVM,1,session_1,0.24999869998699986,0.31499999999999995,0.38869998699986996,0.03887042452822274,11000,0
1,Single Session,Open Set,won 2022,AR+PSD+SVM,2,session_1,0.025000000000000022,0.025000000000000022,0.03500000000000003,0.01757354034137951,11000,0
2,Single Session,Open Set,won 2022,AR+PSD+SVM,3,session_1,0.015000000000000013,0.10999999999999999,0.145,0.013098481743951854,11000,0
3,Single Session,Open Set,won 2022,AR+PSD+SVM,4,session_1,0.255,0.565,0.715,0.04455301902068238,11000,0
4,Single Session,Open Set,won 2022,AR+PSD+SVM,5,session_1,0.0050000000000000044,0.0050000000000000044,0.01999999999999999,0.005007500000002502,11000,0
5,Single Session,Open Set,won 2022,AR+PSD+SVM,6,session_1,0.24000000000000005,0.2959998599986,0.35859998599986,0.037379090386068084,11000,0
6,Single Session,Open Set,won 2022,AR+PSD+SVM,7,session_1,0.05499999999999999,0.265,0.41,0.030537286729509436,11000,0
7,Single Session,Open Set,won 2022,AR+PSD+SVM,8,session_1,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0027961335695509204,11000,0
8,Single Session,Open Set,won 2022,AR+PSD+SVM,9,session_1,0.11500000000000002,0.3,0.485,0.029895301302361864,11000,0
9,Single Session,Open Set,won 2022,AR+PSD+SVM,10,session_1,0.155,0.27,0.335,0.04053733670501728,11000,0
10,Single Session,Open Set,won 2022,AR+PSD+SVM,11,session_1,0.025000000000000022,0.07,0.125,0.025097452248398298,11000,0
11,Single Session,Open Set,won 2022,AR+PSD+SVM,12,session_1,0.040000000000000036,0.26,0.375,0.01899819088646563,11000,0
12,Single Session,Open Set,won 2022,AR+PSD+SVM,13,session_1,0.06,0.17500000000000002,0.265,0.027056742196323803,11000,0
13,Single Session,Open Set,won 2022,AR+PSD+SVM,14,session_1,0.08000000000000002,0.32,0.48,0.02894311787225063,11000,0
14,Single Session,Open Set,won 2022,AR+PSD+SVM,15,session_1,0.035,0.11000000000000001,0.17500000000000002,0.019827634459118025,11000,0
15,Single Session,Open Set,won 2022,AR+PSD+SVM,16,session_1,0.015000000000000013,0.07,0.10500000000000001,0.010724904738879326,11000,0
16,Single Session,Open Set,won 2022,AR+PSD+SVM,17,session_1,0.030000000000000027,0.10500000000000001,0.225,0.024875161171028698,11000,0
17,Single Session,Open Set,won 2022,AR+PSD+SVM,18,session_1,0.015000000000000013,0.07,0.15,0.014602794630633492,11000,0
18,Single Session,Open Set,won 2022,AR+PSD+SVM,19,session_1,0.030000000000000027,0.14500000000000002,0.215,0.025969674859323937,11000,0
19,Single Session,Open Set,won 2022,AR+PSD+SVM,20,session_1,0.0,0.0050000000000000044,0.010000000000000009,0.00027736776479525034,11000,0
20,Single Session,Open Set,won 2022,AR+PSD+SVM,21,session_1,0.0050000000000000044,0.010000000000000009,0.020000000000000018,0.00509495592159843,11000,0
21,Single Session,Open Set,won 2022,AR+PSD+SVM,22,session_1,0.015000000000000013,0.07000000000000003,0.165,0.01503503283391139,11000,0
22,Single Session,Open Set,won 2022,AR+PSD+SVM,23,session_1,0.10500000000000001,0.265,0.37,0.04509755219942398,11000,0
23,Single Session,Open Set,won 2022,AR+PSD+SVM,24,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.0074088221271577034,11000,0
24,Single Session,Open Set,won 2022,AR+PSD+SVM,25,session_1,0.05500000000000002,0.14000000000000004,0.225,0.03586712510869726,11000,0
25,Single Session,Open Set,won 2022,AR+PSD+SVM,26,session_1,0.010000000000000009,0.08500000000000002,0.14,0.006486772706376379,11000,0
26,Single Session,Open Set,won 2022,AR+PSD+SVM,27,session_1,0.024999999999999994,0.10500000000000001,0.10500000000000001,0.012153994542680466,11000,0
27,Single Session,Open Set,won 2022,AR+PSD+SVM,28,session_1,0.025000000000000022,0.1,0.16,0.01296871960547339,11000,0
28,Single Session,Open Set,won 2022,AR+PSD+SVM,29,session_1,0.05500000000000002,0.10500000000000001,0.23,0.02567483803887796,11000,0
29,Single Session,Open Set,won 2022,AR+PSD+SVM,30,session_1,0.0,0.0050000000000000044,0.024999999999999994,0.0008645788063848715,11000,0
30,Single Session,Open Set,won 2022,AR+PSD+SVM,31,session_1,0.030000000000000027,0.12000000000000002,0.24999999999999997,0.016172012272282387,11000,0
31,Single Session,Open Set,won 2022,AR+PSD+SVM,32,session_1,0.09,0.26,0.30000000000000004,0.021339393697094818,11000,0
32,Single Session,Open Set,won 2022,AR+PSD+SVM,33,session_1,0.0,0.0,0.0,1e-05,11000,0
33,Single Session,Open Set,won 2022,AR+PSD+SVM,34,session_1,0.0,0.010000000000000009,0.05000000000000002,0.0006521828803886096,11000,0
34,Single Session,Open Set,won 2022,AR+PSD+SVM,35,session_1,0.024999999999999994,0.09500000000000003,0.19000000000000003,0.016346864405595216,11000,0
35,Single Session,Open Set,won 2022,AR+PSD+SVM,36,session_1,0.04000000000000001,0.14500000000000002,0.23,0.025289857969594928,11000,0
36,Single Session,Open Set,won 2022,AR+PSD+SVM,37,session_1,0.025000000000000022,0.07,0.08500000000000002,0.025384811442313877,11000,0
37,Single Session,Open Set,won 2022,AR+PSD+SVM,38,session_1,0.015000000000000013,0.065,0.14,0.016164721066943954,11000,0
38,Single Session,Open Set,won 2022,AR+PSD+SVM,39,session_1,0.0050000000000000044,0.010000000000000009,0.01999999999999999,0.0030834927635458626,11000,0
39,Single Session,Open Set,won 2022,AR+PSD+SVM,40,session_1,0.0050000000000000044,0.04500000000000001,0.11000000000000001,0.007151486393688154,11000,0
40,Single Session,Open Set,won 2022,AR+PSD+SVM,41,session_1,0.060000000000000026,0.18500000000000003,0.22500000000000003,0.04000000000005354,11000,0
41,Single Session,Open Set,won 2022,AR+PSD+SVM,42,session_1,0.020000000000000018,0.14500000000000002,0.29500000000000004,0.01589456166478927,11000,0
42,Single Session,Open Set,won 2022,AR+PSD+SVM,43,session_1,0.030000000000000027,0.07,0.11000000000000001,0.020804605743191054,11000,0
43,Single Session,Open Set,won 2022,AR+PSD+SVM,44,session_1,0.0,0.010000000000000009,0.015000000000000013,0.0017041686323701383,11000,0
44,Single Session,Open Set,won 2022,AR+PSD+SVM,45,session_1,0.05000000000000002,0.21000000000000002,0.3,0.028940719047666666,11000,0
45,Single Session,Open Set,won 2022,AR+PSD+SVM,46,session_1,0.0,0.0,0.0,1e-05,11000,0
46,Single Session,Open Set,won 2022,AR+PSD+SVM,47,session_1,0.010000000000000009,0.020000000000000018,0.025000000000000022,0.009465313221527832,11000,0
47,Single Session,Open Set,won 2022,AR+PSD+SVM,48,session_1,0.0050000000000000044,0.030000000000000027,0.09500000000000003,0.007873651901176277,11000,0
48,Single Session,Open Set,won 2022,AR+PSD+SVM,49,session_1,0.010000000000000009,0.010000000000000009,0.030000000000000027,0.010187430653587428,11000,0
49,Single Session,Open Set,won 2022,AR+PSD+SVM,50,session_1,0.04500000000000001,0.21499999999999997,0.325,0.022322952008854393,11000,0
50,Single Session,Open Set,won 2022,AR+PSD+SVM,51,session_1,0.04500000000000001,0.2,0.255,0.022618916730801908,11000,0
51,Single Session,Open Set,won 2022,AR+PSD+SVM,52,session_1,0.015000000000000013,0.025000000000000022,0.05500000000000002,0.013565752781137275,11000,0
52,Single Session,Open Set,won 2022,AR+PSD+SVM,53,session_1,0.0,0.0,0.0,1e-05,11000,0
53,Single Session,Open Set,won 2022,AR+PSD+SVM,54,session_1,0.0050000000000000044,0.12000000000000002,0.345,0.00790112844706094,11000,0
54,Single Session,Open Set,won 2022,AR+PSD+SVM,55,session_1,0.10500000000000001,0.34500000000000003,0.575,0.035952283381143264,11000,0
55,Single Session,Open Set,won 2022,AR+PSD+LR,1,session_1,0.625,0.765,0.9550000000000001,0.045814323622934194,11000,0
56,Single Session,Open Set,won 2022,AR+PSD+LR,2,session_1,0.0050000000000000044,0.035,0.385,0.0050949992333423665,11000,0
57,Single Session,Open Set,won 2022,AR+PSD+LR,3,session_1,0.015000000000000013,0.445,0.8300000000000001,0.010105048526222151,11000,0
58,Single Session,Open Set,won 2022,AR+PSD+LR,4,session_1,0.7949999999999999,0.905,0.955,0.07607987086327708,11000,0
59,Single Session,Open Set,won 2022,AR+PSD+LR,5,session_1,0.0,0.010000000000000009,0.3,0.00048740026309072415,11000,0
60,Single Session,Open Set,won 2022,AR+PSD+LR,6,session_1,0.515,0.7209998599986,1.0,0.0444229549313208,11000,0
61,Single Session,Open Set,won 2022,AR+PSD+LR,7,session_1,0.575,1.0,1.0,0.05883231689149039,11000,0
62,Single Session,Open Set,won 2022,AR+PSD+LR,8,session_1,0.0,0.0,0.46289997899978996,0.0002749997393269347,11000,0
63,Single Session,Open Set,won 2022,AR+PSD+LR,9,session_1,0.63,0.96,1.0,0.0752753650711171,11000,0
64,Single Session,Open Set,won 2022,AR+PSD+LR,10,session_1,0.67,1.0,1.0,0.04973053207680281,11000,0
65,Single Session,Open Set,won 2022,AR+PSD+LR,11,session_1,0.2793532273631194,0.5249353227363119,0.6349935322736312,0.03005747037849323,11000,0
66,Single Session,Open Set,won 2022,AR+PSD+LR,12,session_1,0.6699999999999999,0.9609998599985999,0.9972999729997301,0.05190831466337793,11000,0
67,Single Session,Open Set,won 2022,AR+PSD+LR,13,session_1,0.035,0.5349999999999999,0.96,0.0163294985457126,11000,0
