,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,won 2022,siamese,3,session_1,0.0,0.0,0.030000000000000027,0.0049999999999999845,10700,100
1,Single Session,Open Set,won 2022,siamese,7,session_1,0.0050000000000000044,0.05500000000000005,0.19999999999999996,0.022060986371212867,10700,100
2,Single Session,Open Set,won 2022,siamese,12,session_1,0.015000000000000013,0.41000000000000003,0.655,0.06499999999999997,10700,100
3,Single Session,Open Set,won 2022,siamese,16,session_1,0.0050000000000000044,0.0050000000000000044,0.015000000000000013,0.0049999999999999975,10700,100
4,Single Session,Open Set,won 2022,siamese,20,session_1,0.0,0.0,0.0,0.0001,10700,100
5,Single Session,Open Set,won 2022,siamese,24,session_1,0.0,0.0050000000000000044,0.030000000000000027,0.005098539072458084,10700,100
6,Single Session,Open Set,won 2022,siamese,29,session_1,0.0,0.025000000000000022,0.14500000000000002,0.013530738307677224,10700,100
7,Single Session,Open Set,won 2022,siamese,33,session_1,0.0,0.0050000000000000044,0.0050000000000000044,0.005000000000010907,10700,100
8,Single Session,Open Set,won 2022,siamese,37,session_1,0.0,0.015000000000000013,0.09999999999999998,0.014999999999997618,10700,100
9,Single Session,Open Set,won 2022,siamese,42,session_1,0.0,0.015000000000000013,0.17000000000000004,0.010491224629865674,10700,100
10,Single Session,Open Set,won 2022,siamese,45,session_1,0.0050000000000000044,0.06000000000000005,0.29500000000000004,0.030000000000000346,10700,100
11,Single Session,Open Set,won 2022,siamese,49,session_1,0.0,0.005376344086021501,0.08064516129032262,0.009621993127147767,10700,100
12,Single Session,Open Set,won 2022,siamese,51,session_1,0.0050000000000000044,0.04500000000000004,0.245,0.02000000000000006,10700,100
13,Single Session,Open Set,won 2022,siamese,55,session_1,0.0050000000000000044,0.135,0.55,0.04000000000002661,10700,100
14,Single Session,Open Set,won 2022,siamese,2,session_1,0.0,0.0,0.0050000000000000044,0.0015687812530640257,10700,100
15,Single Session,Open Set,won 2022,siamese,6,session_1,0.0,0.0,0.0,0.0003960788196851169,10700,100
16,Single Session,Open Set,won 2022,siamese,11,session_1,0.0,0.0,0.0,0.0003980495571698674,10700,100
17,Single Session,Open Set,won 2022,siamese,14,session_1,0.0,0.0050000000000000044,0.020000000000000018,0.0049999999999999975,10700,100
18,Single Session,Open Set,won 2022,siamese,15,session_1,0.0,0.0,0.0,0.000392195313266007,10700,100
