,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,won 2022,siamese,3,session_1,0.0,0.0,0.03500000000000003,0.0049999999999999845,11000,0
1,Single Session,Open Set,won 2022,siamese,7,session_1,0.0050000000000000044,0.015000000000000013,0.19999999999999996,0.014609275419158742,11000,0
2,Single Session,Open Set,won 2022,siamese,11,session_1,0.0,0.0,0.030000000000000027,0.006569271497205609,11000,0
3,Single Session,Open Set,won 2022,siamese,15,session_1,0.0,0.0,0.025000000000000022,0.001986952346259562,11000,0
4,Single Session,Open Set,won 2022,siamese,19,session_1,0.0,0.0,0.050000000000000044,0.005000000000000063,11000,0
5,Single Session,Open Set,won 2022,siamese,23,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.010000000000000012,11000,0
6,Single Session,Open Set,won 2022,siamese,31,session_1,0.0,0.0,0.03500000000000003,0.002353171879596039,11000,0
7,Single Session,Open Set,won 2022,siamese,35,session_1,0.0,0.0,0.0050000000000000044,0.00117658593979802,11000,0
8,Single Session,Open Set,won 2022,siamese,39,session_1,0.0,0.0,0.0,0.0001,11000,0
9,Single Session,Open Set,won 2022,siamese,43,session_1,0.0050000000000000044,0.05500000000000005,0.21499999999999997,0.02657123247377194,11000,0
10,Single Session,Open Set,won 2022,siamese,47,session_1,0.0,0.015000000000000013,0.31499999999999995,0.013432689479360724,11000,0
11,Single Session,Open Set,won 2022,siamese,51,session_1,0.0,0.10499999999999998,0.52,0.031571722717913524,11000,0
12,Single Session,Open Set,won 2022,siamese,54,session_1,0.0,0.0,0.015000000000000013,0.0015687812530640261,11000,0
13,Single Session,Open Set,won 2022,siamese,55,session_1,0.015000000000000013,0.15500000000000003,0.47,0.03078733209138151,11000,0
14,Single Session,Open Set,won 2022,siamese,2,session_1,0.0,0.010000000000000009,0.025000000000000022,0.010000000000000085,11000,0
15,Single Session,Open Set,won 2022,siamese,6,session_1,0.0,0.0,0.0,0.0007843906265320131,11000,0
16,Single Session,Open Set,won 2022,siamese,10,session_1,0.0,0.0,0.0050000000000000044,0.00117658593979802,11000,0
17,Single Session,Open Set,won 2022,siamese,13,session_1,0.0,0.0,0.010000000000000009,0.0049999999999999845,11000,0
18,Single Session,Open Set,won 2022,siamese,14,session_1,0.0050000000000000044,0.025000000000000022,0.03500000000000003,0.01500000000000004,11000,0
19,Single Session,Open Set,won 2022,siamese,18,session_1,0.0,0.025000000000000022,0.06999999999999995,0.012625012377463114,11000,0
20,Single Session,Open Set,won 2022,siamese,22,session_1,0.0050000000000000044,0.0050000000000000044,0.010000000000000009,0.0049999999999999975,11000,0
21,Single Session,Open Set,won 2022,siamese,30,session_1,0.0,0.0,0.0,0.0001,11000,0
22,Single Session,Open Set,won 2022,siamese,34,session_1,0.0,0.0,0.0,0.000392195313266007,11000,0
23,Single Session,Open Set,won 2022,siamese,38,session_1,0.0,0.0,0.0,0.000392195313266007,11000,0
24,Single Session,Open Set,won 2022,siamese,41,session_1,0.0,0.020000000000000018,0.12,0.019999999999999962,11000,0
25,Single Session,Open Set,won 2022,siamese,42,session_1,0.0,0.015000000000000013,0.06499999999999995,0.011569761741347192,11000,0
26,Single Session,Open Set,won 2022,siamese,46,session_1,0.0,0.0050000000000000044,0.030000000000000027,0.0049999999999999975,11000,0
27,Single Session,Open Set,won 2022,siamese,50,session_1,0.0,0.0,0.0,0.0001,11000,0
28,Single Session,Open Set,won 2022,siamese,1,session_1,0.0,0.0,0.0050000000000000044,0.0030395136778115514,11000,0
29,Single Session,Open Set,won 2022,siamese,5,session_1,0.0,0.0,0.0050000000000000044,0.0049999999999999845,11000,0
30,Single Session,Open Set,won 2022,siamese,9,session_1,0.0,0.0050000000000000044,0.07499999999999996,0.0049999999999999975,11000,0
