,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,won 2022,AR+SVM,1,session_1,0.275,0.565,0.79,0.03440113778210942,11000,1
1,Single Session,Open Set,won 2022,AR+SVM,2,session_1,0.30000000000000004,0.6799999999999999,0.845,0.063626023248596,11000,1
2,Single Session,Open Set,won 2022,AR+SVM,3,session_1,0.46,0.7050000000000001,0.86,0.07913872202620714,11000,1
3,Single Session,Open Set,won 2022,AR+SVM,4,session_1,0.6799999999999999,0.87,0.955,0.1336191266279523,11000,1
4,Single Session,Open Set,won 2022,AR+SVM,5,session_1,0.555,0.885,0.985,0.0905179456442694,11000,1
5,Single Session,Open Set,won 2022,AR+SVM,6,session_1,0.23999859998599984,0.595,0.765,0.033603088872417426,11000,1
6,Single Session,Open Set,won 2022,AR+SVM,7,session_1,0.51,0.845,0.965,0.09390118841778357,11000,1
7,Single Session,Open Set,won 2022,AR+SVM,8,session_1,0.24000000000000002,0.585,0.71,0.04874836330198519,11000,1
8,Single Session,Open Set,won 2022,AR+SVM,9,session_1,0.6599999999999999,0.875,0.925,0.15923077691916387,11000,1
9,Single Session,Open Set,won 2022,AR+SVM,10,session_1,0.27999999999999997,0.5549999999999999,0.71,0.07958830173215123,11000,1
10,Single Session,Open Set,won 2022,AR+SVM,11,session_1,0.28500000000000003,0.585,0.83,0.08499999999992676,11000,1
11,Single Session,Open Set,won 2022,AR+SVM,12,session_1,0.39,0.73,0.915,0.07651945546681678,11000,1
12,Single Session,Open Set,won 2022,AR+SVM,13,session_1,0.635,0.845,0.8999999999999999,0.11842648998535546,11000,1
13,Single Session,Open Set,won 2022,AR+SVM,14,session_1,0.53,0.895,0.95,0.09000000000010666,11000,1
14,Single Session,Open Set,won 2022,AR+SVM,15,session_1,0.18000000000000005,0.5700000000000001,0.6950000000000001,0.04499999999993315,11000,1
15,Single Session,Open Set,won 2022,AR+SVM,16,session_1,0.45999999999999996,0.71,0.8,0.14354641225799583,11000,1
16,Single Session,Open Set,won 2022,AR+SVM,17,session_1,0.4,0.8300000000000001,0.9199999999999999,0.08989325230637453,11000,1
17,Single Session,Open Set,won 2022,AR+SVM,18,session_1,0.475,0.7949999999999999,0.8899999999999999,0.09237423662397515,11000,1
18,Single Session,Open Set,won 2022,AR+SVM,19,session_1,0.29,0.625,0.72,0.05653934572060778,11000,1
19,Single Session,Open Set,won 2022,AR+SVM,20,session_1,0.010000000000000009,0.08000000000000002,0.13999999999999999,0.00866320625393559,11000,1
20,Single Session,Open Set,won 2022,AR+SVM,21,session_1,0.030000000000000027,0.06500000000000003,0.255,0.025000000000007516,11000,1
21,Single Session,Open Set,won 2022,AR+SVM,22,session_1,0.07500000000000001,0.34,0.48000000000000004,0.039642874991254344,11000,1
22,Single Session,Open Set,won 2022,AR+SVM,23,session_1,0.54,0.885,0.9299999999999999,0.11999120430988816,11000,1
23,Single Session,Open Set,won 2022,AR+SVM,24,session_1,0.03,0.095,0.20500000000000002,0.012873694339773513,11000,1
24,Single Session,Open Set,won 2022,AR+SVM,25,session_1,0.425,0.69,0.8500000000000001,0.1091484172755354,11000,1
25,Single Session,Open Set,won 2022,AR+SVM,26,session_1,0.32,0.625,0.715,0.09330383112278112,11000,1
26,Single Session,Open Set,won 2022,AR+SVM,27,session_1,0.11000000000000001,0.30500000000000005,0.47500000000000003,0.02617717318513928,11000,1
27,Single Session,Open Set,won 2022,AR+SVM,28,session_1,0.685,0.92,0.975,0.13461548937447507,11000,1
28,Single Session,Open Set,won 2022,AR+SVM,29,session_1,0.22,0.655,0.8600000000000001,0.03089075081964937,11000,1
29,Single Session,Open Set,won 2022,AR+SVM,30,session_1,0.0050000000000000044,0.05500000000000002,0.16500000000000004,0.00553235036392315,11000,1
30,Single Session,Open Set,won 2022,AR+SVM,31,session_1,0.18500000000000003,0.46499999999999997,0.5900000000000001,0.04451793621117878,11000,1
31,Single Session,Open Set,won 2022,AR+SVM,32,session_1,0.53,0.815,0.9249999999999999,0.11642295275315097,11000,1
32,Single Session,Open Set,won 2022,AR+SVM,33,session_1,0.0050000000000000044,0.015000000000000013,0.05000000000000002,0.0057246749045974975,11000,1
33,Single Session,Open Set,won 2022,AR+SVM,34,session_1,0.15999999999999998,0.51,0.625,0.03082234704994554,11000,1
34,Single Session,Open Set,won 2022,AR+SVM,35,session_1,0.24,0.62,0.8099999999999999,0.043111275474937885,11000,1
35,Single Session,Open Set,won 2022,AR+SVM,36,session_1,0.06,0.24000000000000002,0.405,0.018970654379354128,11000,1
36,Single Session,Open Set,won 2022,AR+SVM,37,session_1,0.67,0.905,0.97,0.11720946736099332,11000,1
37,Single Session,Open Set,won 2022,AR+SVM,38,session_1,0.155,0.495,0.745,0.052086727503523306,11000,1
38,Single Session,Open Set,won 2022,AR+SVM,39,session_1,0.015000000000000013,0.07500000000000001,0.08500000000000002,0.005520662742555995,11000,1
39,Single Session,Open Set,won 2022,AR+SVM,40,session_1,0.035,0.21500000000000002,0.32000000000000006,0.014870163619826295,11000,1
40,Single Session,Open Set,won 2022,AR+SVM,41,session_1,0.5650000000000001,0.855,0.9099999999999999,0.11116777778888398,11000,1
41,Single Session,Open Set,won 2022,AR+SVM,42,session_1,0.725,0.915,0.995,0.13815980169716838,11000,1
42,Single Session,Open Set,won 2022,AR+SVM,43,session_1,0.35000000000000003,0.64,0.7849999999999999,0.07516297014462911,11000,1
43,Single Session,Open Set,won 2022,AR+SVM,44,session_1,0.010000000000000009,0.03500000000000003,0.05499999999999999,0.008065998885546093,11000,1
44,Single Session,Open Set,won 2022,AR+SVM,45,session_1,0.495,0.7949999999999999,0.87,0.0792306269927289,11000,1
45,Single Session,Open Set,won 2022,AR+SVM,46,session_1,0.020000000000000018,0.21000000000000002,0.475,0.01423042709072557,11000,1
46,Single Session,Open Set,won 2022,AR+SVM,47,session_1,0.29000000000000004,0.595,0.7,0.06321362532359744,11000,1
47,Single Session,Open Set,won 2022,AR+SVM,48,session_1,0.10499999999999998,0.365,0.575,0.031154434327174567,11000,1
48,Single Session,Open Set,won 2022,AR+SVM,49,session_1,0.15000000000000002,0.41500000000000004,0.645,0.037846455236933904,11000,1
49,Single Session,Open Set,won 2022,AR+SVM,50,session_1,0.135,0.355,0.63,0.03991289268258554,11000,1
50,Single Session,Open Set,won 2022,AR+SVM,51,session_1,0.615,0.9049999999999999,0.9249999999999999,0.1356535297704125,11000,1
51,Single Session,Open Set,won 2022,AR+SVM,52,session_1,0.07500000000000001,0.21000000000000002,0.395,0.02848344311287469,11000,1
52,Single Session,Open Set,won 2022,AR+SVM,53,session_1,0.0,0.030000000000000027,0.14000000000000004,0.002928597482142881,11000,1
53,Single Session,Open Set,won 2022,AR+SVM,54,session_1,0.355,0.7,0.855,0.0869719837279687,11000,1
54,Single Session,Open Set,won 2022,AR+SVM,55,session_1,0.63,0.9099999999999999,0.94,0.13992108866654945,11000,1
55,Single Session,Open Set,won 2022,AR+LR,1,session_1,0.765,0.96,0.97,0.06652582404436092,11000,1
56,Single Session,Open Set,won 2022,AR+LR,2,session_1,0.61,0.905,0.96,0.1328591989924919,11000,1
57,Single Session,Open Set,won 2022,AR+LR,3,session_1,0.46,0.76,0.875,0.0974991754040685,11000,1
58,Single Session,Open Set,won 2022,AR+LR,4,session_1,0.9199999999999999,1.0,1.0,0.19614139071854791,11000,1
59,Single Session,Open Set,won 2022,AR+LR,5,session_1,0.7450000000000001,0.96,0.97,0.1139738528122303,11000,1
60,Single Session,Open Set,won 2022,AR+LR,6,session_1,0.6949985999859999,0.9500000000000001,0.965,0.06958550206070556,11000,1
61,Single Session,Open Set,won 2022,AR+LR,7,session_1,0.6849999999999999,0.955,0.995,0.10002813621318624,11000,1
62,Single Session,Open Set,won 2022,AR+LR,8,session_1,0.46499999999999997,0.8049999999999999,0.91,0.10798086396427486,11000,1
63,Single Session,Open Set,won 2022,AR+LR,9,session_1,0.97,1.0,1.0,0.2852602224909794,11000,1
64,Single Session,Open Set,won 2022,AR+LR,10,session_1,0.875,0.99,0.995,0.18439424681905864,11000,1
65,Single Session,Open Set,won 2022,AR+LR,11,session_1,0.605,0.855,0.925,0.10406600765622076,11000,1
66,Single Session,Open Set,won 2022,AR+LR,12,session_1,0.5900000000000001,0.9299999999999999,0.985,0.1165299003488351,11000,1
67,Single Session,Open Set,won 2022,AR+LR,13,session_1,0.72,0.945,0.985,0.1378695439234775,11000,1
68,Single Session,Open Set,won 2022,AR+LR,14,session_1,0.8,0.98,0.99,0.0943062899179402,11000,1
69,Single Session,Open Set,won 2022,AR+LR,15,session_1,0.7250000000000001,0.945,0.96,0.1214676808364568,11000,1
