,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,won 2022,PSD+SVM,1,session_1,0.26190476190476186,0.3733809123805524,0.43888571028567425,0.036977545770310406,46200,1
1,Single Session,Open Set,won 2022,PSD+SVM,2,session_1,0.004761904761904745,0.008333333333333304,0.019047619047619008,0.005571063237078617,46200,1
2,Single Session,Open Set,won 2022,PSD+SVM,3,session_1,0.010714285714285704,0.04166666666666666,0.09761904761904763,0.01022484436098797,46200,1
3,Single Session,Open Set,won 2022,PSD+SVM,4,session_1,0.17976190476190476,0.47023809523809523,0.6440476190476191,0.036342579722761933,46200,1
4,Single Session,Open Set,won 2022,PSD+SVM,5,session_1,0.0011904761904761862,0.004761904761904745,0.014285714285714263,0.0027900972681039345,46200,1
5,Single Session,Open Set,won 2022,PSD+SVM,6,session_1,0.2707128857002855,0.3997163175565503,0.5079478222318454,0.037652582418534725,46200,1
6,Single Session,Open Set,won 2022,PSD+SVM,7,session_1,0.04285714285714287,0.29642857142857143,0.5011904761904762,0.019254864475995746,46200,1
7,Single Session,Open Set,won 2022,PSD+SVM,8,session_1,0.0011904761904761862,0.0023809523809523725,0.0023809523809523725,0.0024084264079680252,46200,1
8,Single Session,Open Set,won 2022,PSD+SVM,9,session_1,0.09523809523809523,0.42738095238095236,0.719047619047619,0.030001190369178192,46200,1
9,Single Session,Open Set,won 2022,PSD+SVM,10,session_1,0.03452380952380951,0.16547619047619047,0.3619047619047619,0.019047619047715476,46200,1
10,Single Session,Open Set,won 2022,PSD+SVM,11,session_1,0.004761904761904745,0.023809523809523808,0.19166666666666668,0.005952380952346707,46200,1
11,Single Session,Open Set,won 2022,PSD+SVM,12,session_1,0.10357142857142856,0.45952380952380956,0.7999999999999999,0.02975930305661167,46200,1
12,Single Session,Open Set,won 2022,PSD+SVM,13,session_1,0.014285714285714263,0.09642857142857145,0.31785714285714284,0.010279266333363356,46200,1
13,Single Session,Open Set,won 2022,PSD+SVM,14,session_1,0.13452380952380952,0.4035714285714286,0.7714285714285715,0.027457257189616578,46200,1
14,Single Session,Open Set,won 2022,PSD+SVM,15,session_1,0.05595238095238095,0.11309523809523811,0.1630952380952381,0.01762159942862649,46200,1
15,Single Session,Open Set,won 2022,PSD+SVM,16,session_1,0.04999999999999996,0.21666666666666665,0.3654761904761905,0.017283698498741465,46200,1
16,Single Session,Open Set,won 2022,PSD+SVM,17,session_1,0.021428571428571436,0.10119047619047619,0.2,0.014240986338552426,46200,1
17,Single Session,Open Set,won 2022,PSD+SVM,18,session_1,0.03452380952380951,0.125,0.48333333333333334,0.02261904761904862,46200,1
18,Single Session,Open Set,won 2022,PSD+SVM,19,session_1,0.07738095238095241,0.35238095238095235,0.5821428571428571,0.022619047619054453,46200,1
19,Single Session,Open Set,won 2022,PSD+SVM,20,session_1,0.0023809523809523725,0.027380952380952367,0.10833333333333334,0.0027052849758291402,46200,1
