,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,won 2022,AR+PSD+SVM,1,session_1,0.62849986499865,0.960049905499055,0.9927849878498785,0.02531966754248982,11000
1,Single Session,Close Set,won 2022,AR+PSD+SVM,2,session_1,0.0,0.020000000000000018,0.025000000000000022,0.002461781199444458,11000
2,Single Session,Close Set,won 2022,AR+PSD+SVM,3,session_1,0.0015000000000000013,0.04000000000000002,0.12350000000000001,0.004606017976164486,11000
3,Single Session,Close Set,won 2022,AR+PSD+SVM,4,session_1,0.07100000000000002,0.20599999999999996,0.45949999999999996,0.03691711061579704,11000
4,Single Session,Close Set,won 2022,AR+PSD+SVM,5,session_1,0.0050000000000000044,0.007000000000000006,0.031000000000000007,0.004072009153574382,11000
5,Single Session,Close Set,won 2022,AR+PSD+SVM,6,session_1,0.645,0.95999986499865,0.9904199891998919,0.024636959470185304,11000
6,Single Session,Close Set,won 2022,AR+PSD+SVM,7,session_1,0.025000000000000022,0.1015,0.203,0.020926866738835415,11000
7,Single Session,Close Set,won 2022,AR+PSD+SVM,8,session_1,0.0,0.004500000000000004,0.008500000000000008,0.0008328448460254475,11000
8,Single Session,Close Set,won 2022,AR+PSD+SVM,9,session_1,0.04650000000000002,0.24250000000000002,0.40199999999999997,0.024935381662987793,11000
9,Single Session,Close Set,won 2022,AR+PSD+SVM,10,session_1,0.03950000000000002,0.0935,0.15099999999999997,0.027222733235140996,11000
10,Single Session,Close Set,won 2022,AR+PSD+SVM,11,session_1,0.015000000000000013,0.027000000000000024,0.03650000000000002,0.015604704307397693,11000
11,Single Session,Close Set,won 2022,AR+PSD+SVM,12,session_1,0.027500000000000024,0.15750000000000003,0.35650000000000004,0.01860130036282289,11000
12,Single Session,Close Set,won 2022,AR+PSD+SVM,13,session_1,0.025500000000000012,0.0965,0.1885,0.013704727849525016,11000
13,Single Session,Close Set,won 2022,AR+PSD+SVM,14,session_1,0.034000000000000016,0.148649986499865,0.309,0.023222984732160747,11000
14,Single Session,Close Set,won 2022,AR+PSD+SVM,15,session_1,0.008000000000000007,0.020000000000000018,0.04450000000000001,0.007717189240474981,11000
15,Single Session,Close Set,won 2022,AR+PSD+SVM,16,session_1,0.0040000000000000036,0.010000000000000009,0.012500000000000011,0.0033600863751783267,11000
16,Single Session,Close Set,won 2022,AR+PSD+SVM,17,session_1,0.018000000000000013,0.047500000000000014,0.1325,0.017103763315669127,11000
17,Single Session,Close Set,won 2022,AR+PSD+SVM,18,session_1,0.019500000000000014,0.03800000000000002,0.07000000000000002,0.017964796057026344,11000
18,Single Session,Close Set,won 2022,AR+PSD+SVM,19,session_1,0.020500000000000015,0.042000000000000016,0.08150000000000002,0.01660376860775633,11000
19,Single Session,Close Set,won 2022,AR+PSD+SVM,20,session_1,0.0,0.0,0.0005000000000000004,1.9245347279832884e-05,11000
20,Single Session,Close Set,won 2022,AR+PSD+SVM,21,session_1,0.007000000000000006,0.008000000000000007,0.008000000000000007,0.005728856375927779,11000
21,Single Session,Close Set,won 2022,AR+PSD+SVM,22,session_1,0.01050000000000001,0.02000000000000001,0.034000000000000016,0.010587967684715854,11000
22,Single Session,Close Set,won 2022,AR+PSD+SVM,23,session_1,0.05200000000000001,0.17650000000000002,0.398,0.030277726289801344,11000
23,Single Session,Close Set,won 2022,AR+PSD+SVM,24,session_1,0.0005000000000000004,0.004500000000000004,0.009000000000000008,0.001082967163589842,11000
24,Single Session,Close Set,won 2022,AR+PSD+SVM,25,session_1,0.04000000000000002,0.12050000000000001,0.20950000000000002,0.025259285435141686,11000
25,Single Session,Close Set,won 2022,AR+PSD+SVM,26,session_1,0.015000000000000013,0.029500000000000016,0.05700000000000001,0.015494263172411094,11000
26,Single Session,Close Set,won 2022,AR+PSD+SVM,27,session_1,0.005500000000000005,0.005500000000000005,0.009000000000000008,0.005590458370403333,11000
27,Single Session,Close Set,won 2022,AR+PSD+SVM,28,session_1,0.006500000000000006,0.028500000000000025,0.12,0.006940360442228931,11000
28,Single Session,Close Set,won 2022,AR+PSD+SVM,29,session_1,0.01950000000000001,0.04950000000000001,0.138,0.018586001405996956,11000
29,Single Session,Close Set,won 2022,AR+PSD+SVM,30,session_1,0.003500000000000003,0.005500000000000005,0.007000000000000006,0.0032024343596637654,11000
