,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,won 2022,AR+PSD+SVM,1,session_1,0.23500000000000001,0.28,0.32,0.029939899260685535,11000
1,Single Session,Open Set,won 2022,AR+PSD+SVM,2,session_1,0.010000000000000009,0.015000000000000013,0.015000000000000013,0.0030641983254606907,11000
2,Single Session,Open Set,won 2022,AR+PSD+SVM,3,session_1,0.010000000000000009,0.09,0.145,0.006095066409741079,11000
3,Single Session,Open Set,won 2022,AR+PSD+SVM,4,session_1,0.26,0.5599999999999999,0.7050000000000001,0.06157957600775642,11000
4,Single Session,Open Set,won 2022,AR+PSD+SVM,5,session_1,0.0,0.0,0.0,1e-05,11000
5,Single Session,Open Set,won 2022,AR+PSD+SVM,6,session_1,0.22500000000000003,0.2959998599986,0.32000000000000006,0.04261004914609427,11000
6,Single Session,Open Set,won 2022,AR+PSD+SVM,7,session_1,0.05499999999999999,0.255,0.425,0.020444882007821172,11000
7,Single Session,Open Set,won 2022,AR+PSD+SVM,8,session_1,0.0050000000000000044,0.020000000000000018,0.020000000000000018,0.005489811217503423,11000
8,Single Session,Open Set,won 2022,AR+PSD+SVM,9,session_1,0.16999999999999998,0.38,0.5700000000000001,0.050220286425016955,11000
9,Single Session,Open Set,won 2022,AR+PSD+SVM,10,session_1,0.15,0.345,0.42500000000000004,0.04470534438125505,11000
10,Single Session,Open Set,won 2022,AR+PSD+SVM,11,session_1,0.04500000000000001,0.07500000000000001,0.09500000000000003,0.027528962033606035,11000
11,Single Session,Open Set,won 2022,AR+PSD+SVM,12,session_1,0.040000000000000036,0.255,0.35000000000000003,0.023218572899279366,11000
12,Single Session,Open Set,won 2022,AR+PSD+SVM,13,session_1,0.06500000000000003,0.185,0.28500000000000003,0.021414456916111126,11000
13,Single Session,Open Set,won 2022,AR+PSD+SVM,14,session_1,0.095,0.34,0.45499999999999996,0.03178662455396673,11000
14,Single Session,Open Set,won 2022,AR+PSD+SVM,15,session_1,0.06500000000000003,0.12500000000000003,0.16,0.030000000000003184,11000
15,Single Session,Open Set,won 2022,AR+PSD+SVM,16,session_1,0.0050000000000000044,0.025000000000000022,0.060000000000000026,0.00555229685834331,11000
16,Single Session,Open Set,won 2022,AR+PSD+SVM,17,session_1,0.05500000000000002,0.14,0.21500000000000002,0.031609361412907745,11000
17,Single Session,Open Set,won 2022,AR+PSD+SVM,18,session_1,0.030000000000000027,0.10500000000000001,0.15,0.024284300405372855,11000
18,Single Session,Open Set,won 2022,AR+PSD+SVM,19,session_1,0.05499999999999999,0.215,0.33,0.028748263350966925,11000
19,Single Session,Open Set,won 2022,AR+PSD+SVM,20,session_1,0.0,0.0,0.010000000000000009,0.00018741184319683358,11000
20,Single Session,Open Set,won 2022,AR+PSD+SVM,21,session_1,0.020000000000000018,0.020000000000000018,0.030000000000000027,0.020277364091595137,11000
21,Single Session,Open Set,won 2022,AR+PSD+SVM,22,session_1,0.020000000000000018,0.08000000000000002,0.19000000000000003,0.020179911843201843,11000
22,Single Session,Open Set,won 2022,AR+PSD+SVM,23,session_1,0.13,0.25,0.37,0.0500900058971182,11000
23,Single Session,Open Set,won 2022,AR+PSD+SVM,24,session_1,0.0,0.0050000000000000044,0.015000000000000013,0.0009083290668704406,11000
24,Single Session,Open Set,won 2022,AR+PSD+SVM,25,session_1,0.050000000000000044,0.2,0.255,0.02499755119992093,11000
25,Single Session,Open Set,won 2022,AR+PSD+SVM,26,session_1,0.020000000000000018,0.07,0.135,0.018838119321539955,11000
26,Single Session,Open Set,won 2022,AR+PSD+SVM,27,session_1,0.03,0.095,0.12500000000000003,0.015092505897119295,11000
27,Single Session,Open Set,won 2022,AR+PSD+SVM,28,session_1,0.020000000000000018,0.06500000000000003,0.20500000000000004,0.014692700576717437,11000
28,Single Session,Open Set,won 2022,AR+PSD+SVM,29,session_1,0.05500000000000002,0.14500000000000005,0.22000000000000003,0.03500000000000257,11000
29,Single Session,Open Set,won 2022,AR+PSD+SVM,30,session_1,0.0,0.020000000000000018,0.035,0.0024013245759577804,11000
30,Single Session,Open Set,won 2022,AR+PSD+SVM,31,session_1,0.04500000000000001,0.16,0.23,0.017116487290381833,11000
31,Single Session,Open Set,won 2022,AR+PSD+SVM,32,session_1,0.10500000000000001,0.315,0.47500000000000003,0.025624743875507405,11000
32,Single Session,Open Set,won 2022,AR+PSD+SVM,33,session_1,0.0,0.0,0.0,1e-05,11000
33,Single Session,Open Set,won 2022,AR+PSD+SVM,34,session_1,0.010000000000000009,0.010000000000000009,0.035,0.010099952248403288,11000
34,Single Session,Open Set,won 2022,AR+PSD+SVM,35,session_1,0.025000000000000022,0.10999999999999999,0.205,0.010005000000002522,11000
35,Single Session,Open Set,won 2022,AR+PSD+SVM,36,session_1,0.025000000000000022,0.14,0.19,0.012866195564173554,11000
36,Single Session,Open Set,won 2022,AR+PSD+SVM,37,session_1,0.025000000000000022,0.04500000000000004,0.065,0.01673170146628155,11000
37,Single Session,Open Set,won 2022,AR+PSD+SVM,38,session_1,0.030000000000000027,0.135,0.185,0.024100490759528047,11000
38,Single Session,Open Set,won 2022,AR+PSD+SVM,39,session_1,0.0,0.0,0.010000000000000009,0.00019995381108533952,11000
39,Single Session,Open Set,won 2022,AR+PSD+SVM,40,session_1,0.0,0.065,0.10500000000000001,0.002706175199152415,11000
40,Single Session,Open Set,won 2022,AR+PSD+SVM,41,session_1,0.04999999999999999,0.195,0.315,0.029490399704147754,11000
41,Single Session,Open Set,won 2022,AR+PSD+SVM,42,session_1,0.010000000000000009,0.14500000000000002,0.315,0.013090985417154477,11000
42,Single Session,Open Set,won 2022,AR+PSD+SVM,43,session_1,0.020000000000000018,0.05000000000000002,0.08000000000000002,0.021696668632372705,11000
43,Single Session,Open Set,won 2022,AR+PSD+SVM,44,session_1,0.0,0.0,0.010000000000000009,9.747840518275615e-05,11000
44,Single Session,Open Set,won 2022,AR+PSD+SVM,45,session_1,0.10500000000000001,0.24999999999999997,0.38999999999999996,0.04259637777489037,11000
45,Single Session,Open Set,won 2022,AR+PSD+SVM,46,session_1,0.0,0.0050000000000000044,0.0050000000000000044,0.0015267555647732608,11000
46,Single Session,Open Set,won 2022,AR+PSD+SVM,47,session_1,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.005007500000000014,11000
47,Single Session,Open Set,won 2022,AR+PSD+SVM,48,session_1,0.010000000000000009,0.06500000000000003,0.135,0.012328858859167891,11000
48,Single Session,Open Set,won 2022,AR+PSD+SVM,49,session_1,0.020000000000000018,0.04000000000000001,0.05499999999999999,0.014205490534640531,11000
49,Single Session,Open Set,won 2022,AR+PSD+SVM,50,session_1,0.1,0.28,0.35,0.02648216205325825,11000
50,Single Session,Open Set,won 2022,AR+PSD+SVM,51,session_1,0.04000000000000001,0.255,0.32499999999999996,0.036284420633889446,11000
51,Single Session,Open Set,won 2022,AR+PSD+SVM,52,session_1,0.020000000000000018,0.025000000000000022,0.030000000000000027,0.01780122739857471,11000
52,Single Session,Open Set,won 2022,AR+PSD+SVM,53,session_1,0.0,0.0,0.0,1e-05,11000
53,Single Session,Open Set,won 2022,AR+PSD+SVM,54,session_1,0.020000000000000018,0.13499999999999998,0.245,0.011461929881263735,11000
54,Single Session,Open Set,won 2022,AR+PSD+SVM,55,session_1,0.125,0.43499999999999994,0.635,0.032864801018856,11000
55,Single Session,Open Set,won 2022,AR+PSD+LR,1,session_1,0.675,0.78,0.8886999869998701,0.04671300873892547,11000
56,Single Session,Open Set,won 2022,AR+PSD+LR,2,session_1,0.0050000000000000044,0.065,0.33859998599985996,0.005094998400030946,11000
57,Single Session,Open Set,won 2022,AR+PSD+LR,3,session_1,0.0,0.8150000000000001,1.0,0.006584273705884117,11000
58,Single Session,Open Set,won 2022,AR+PSD+LR,4,session_1,0.6,0.9299999999999999,0.97,0.05817439567676782,11000
59,Single Session,Open Set,won 2022,AR+PSD+LR,5,session_1,0.0,0.0050000000000000044,0.4,0.00048735588420082364,11000
60,Single Session,Open Set,won 2022,AR+PSD+LR,6,session_1,0.43999999999999995,0.965,0.965,0.047047032798834564,11000
61,Single Session,Open Set,won 2022,AR+PSD+LR,7,session_1,0.51,0.995,1.0,0.05447762554028688,11000
62,Single Session,Open Set,won 2022,AR+PSD+LR,8,session_1,0.0,0.0,0.36789997899979,0.0002749989108488865,11000
63,Single Session,Open Set,won 2022,AR+PSD+LR,9,session_1,0.535,0.9550000000000001,1.0,0.054627982288667706,11000
64,Single Session,Open Set,won 2022,AR+PSD+LR,10,session_1,0.7,0.995,1.0,0.04978310627792381,11000
65,Single Session,Open Set,won 2022,AR+PSD+LR,11,session_1,0.29000000000000004,0.53,0.6,0.03532235075478375,11000
66,Single Session,Open Set,won 2022,AR+PSD+LR,12,session_1,0.734349993499935,0.9783591760160026,0.9993359176016003,0.05459564813233576,11000
67,Single Session,Open Set,won 2022,AR+PSD+LR,13,session_1,0.030000000000000027,0.53,0.79,0.01773870803306382,11000
68,Single Session,Open Set,won 2022,AR+PSD+LR,14,session_1,0.10500000000000004,0.6100000000000001,0.885,0.028605933092784547,11000
69,Single Session,Open Set,won 2022,AR+PSD+LR,15,session_1,0.51,0.855,1.0,0.0461423902287879,11000
70,Single Session,Open Set,won 2022,AR+PSD+LR,16,session_1,0.275,0.845,0.885,0.02043238812981641,11000
71,Single Session,Open Set,won 2022,AR+PSD+LR,17,session_1,0.16500000000000004,0.535,0.6771999719997199,0.03617462443395047,11000
72,Single Session,Open Set,won 2022,AR+PSD+LR,18,session_1,0.29000000000000004,0.95,1.0,0.018483343161850727,11000
73,Single Session,Open Set,won 2022,AR+PSD+LR,19,session_1,0.52,0.925,0.96,0.052640672233247005,11000
74,Single Session,Open Set,won 2022,AR+PSD+LR,20,session_1,0.0050000000000000044,0.07,0.175,0.0035758396421305023,11000
75,Single Session,Open Set,won 2022,AR+PSD+LR,21,session_1,0.16499999999999998,0.28500000000000003,0.44,0.006124450244377672,11000
76,Single Session,Open Set,won 2022,AR+PSD+LR,22,session_1,0.33,0.7150000000000001,0.99,0.036579526032246706,11000
77,Single Session,Open Set,won 2022,AR+PSD+LR,23,session_1,0.35500000000000004,0.7706665733324,0.99126662933296,0.03499755119991105,11000
78,Single Session,Open Set,won 2022,AR+PSD+LR,24,session_1,0.015000000000000013,0.935,1.0,0.011559621371935325,11000
79,Single Session,Open Set,won 2022,AR+PSD+LR,25,session_1,0.30500000000000005,0.995,1.0,0.034730332137252774,11000
80,Single Session,Open Set,won 2022,AR+PSD+LR,26,session_1,0.20500000000000002,0.98149996499965,0.988949989499895,0.01950794110885666,11000
81,Single Session,Open Set,won 2022,AR+PSD+LR,27,session_1,0.325,0.54,0.78,0.030929952313647188,11000
82,Single Session,Open Set,won 2022,AR+PSD+LR,28,session_1,0.275,0.87,0.9199999999999999,0.018570850283361164,11000
83,Single Session,Open Set,won 2022,AR+PSD+LR,29,session_1,0.15000000000000002,0.745,0.785,0.026114651946496,11000
84,Single Session,Open Set,won 2022,AR+PSD+LR,30,session_1,0.0050000000000000044,0.175,0.56,0.004493038383665023,11000
85,Single Session,Open Set,won 2022,AR+PSD+LR,31,session_1,0.195,0.995,0.995,0.025764775260043178,11000
86,Single Session,Open Set,won 2022,AR+PSD+LR,32,session_1,0.46,0.965,1.0,0.0303305191801295,11000
87,Single Session,Open Set,won 2022,AR+PSD+LR,33,session_1,0.19,0.605,0.75,0.0064307083992470775,11000
88,Single Session,Open Set,won 2022,AR+PSD+LR,34,session_1,0.355,0.83,0.97,0.03353070315366459,11000
89,Single Session,Open Set,won 2022,AR+PSD+LR,35,session_1,0.435,0.71,0.99,0.035922248098434556,11000
90,Single Session,Open Set,won 2022,AR+PSD+LR,36,session_1,0.23,0.37,0.6799999999999999,0.02112730383363052,11000
