,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,won 2022,siamese,1,session_1,0.33999999999999997,1.0,1.0,0.020000000000000143,11000
1,Single Session,Close Set,won 2022,siamese,2,session_1,0.0,0.020000000000000018,0.020000000000000018,0.006296914511889174,11000
2,Single Session,Close Set,won 2022,siamese,3,session_1,0.0,0.0,0.020000000000000018,0.0003798138911933153,11000
3,Single Session,Close Set,won 2022,siamese,4,session_1,0.06000000000000005,0.16000000000000003,0.21999999999999997,0.02000000000001001,11000
4,Single Session,Close Set,won 2022,siamese,5,session_1,0.0,0.0,0.0,1e-05,11000
5,Single Session,Close Set,won 2022,siamese,6,session_1,0.5800000000000001,0.94,0.96,0.020000000000000056,11000
6,Single Session,Close Set,won 2022,siamese,7,session_1,0.0,0.0,0.06000000000000005,0.0007498200431896345,11000
7,Single Session,Close Set,won 2022,siamese,8,session_1,0.0,0.0,0.07999999999999996,0.0007498200431896345,11000
8,Single Session,Close Set,won 2022,siamese,9,session_1,0.06000000000000005,0.12,0.14,0.040000000000000195,11000
9,Single Session,Close Set,won 2022,siamese,10,session_1,0.0,0.0,0.0,1e-05,11000
10,Single Session,Close Set,won 2022,siamese,11,session_1,0.040000000000000036,0.040000000000000036,0.06000000000000005,0.020000000000000056,11000
11,Single Session,Close Set,won 2022,siamese,12,session_1,0.07999999999999996,0.21999999999999997,0.31999999999999995,0.03777149196893522,11000
12,Single Session,Close Set,won 2022,siamese,13,session_1,0.0,0.18000000000000005,0.31999999999999995,0.007406370878269648,11000
13,Single Session,Close Set,won 2022,siamese,14,session_1,0.020000000000000018,0.16000000000000003,0.36,0.020000000000025508,11000
14,Single Session,Close Set,won 2022,siamese,15,session_1,0.0,0.020000000000000018,0.06000000000000005,0.009255464822237104,11000
15,Single Session,Close Set,won 2022,siamese,16,session_1,0.0,0.0,0.0,1e-05,11000
16,Single Session,Close Set,won 2022,siamese,17,session_1,0.020000000000000018,0.06000000000000005,0.07999999999999996,0.020000000000000042,11000
17,Single Session,Close Set,won 2022,siamese,18,session_1,0.020000000000000018,0.07999999999999996,0.30000000000000004,0.02000000000001001,11000
18,Single Session,Close Set,won 2022,siamese,19,session_1,0.040000000000000036,0.06000000000000005,0.12,0.02259892652600226,11000
19,Single Session,Close Set,won 2022,siamese,20,session_1,0.0,0.0,0.0,1e-05,11000
20,Single Session,Close Set,won 2022,siamese,21,session_1,0.0,0.0,0.040000000000000036,0.00037990882188274815,11000
21,Single Session,Close Set,won 2022,siamese,22,session_1,0.0,0.040000000000000036,0.06000000000000005,0.003338364201541245,11000
22,Single Session,Close Set,won 2022,siamese,23,session_1,0.040000000000000036,0.09999999999999998,0.45999999999999996,0.023708382892382734,11000
23,Single Session,Close Set,won 2022,siamese,24,session_1,0.0,0.07999999999999996,0.18000000000000005,0.00481763935671521,11000
24,Single Session,Close Set,won 2022,siamese,25,session_1,0.0,0.14,0.19999999999999996,0.0051874581455087,11000
25,Single Session,Close Set,won 2022,siamese,26,session_1,0.0,0.06000000000000005,0.14,0.001119824560818805,11000
26,Single Session,Close Set,won 2022,siamese,27,session_1,0.0,0.020000000000000018,0.06000000000000005,0.0059270957230956834,11000
27,Single Session,Close Set,won 2022,siamese,28,session_1,0.020000000000000018,0.09999999999999998,0.12,0.02000000000001001,11000
28,Single Session,Close Set,won 2022,siamese,29,session_1,0.0,0.09999999999999998,0.18000000000000005,0.00481763935671521,11000
29,Single Session,Close Set,won 2022,siamese,30,session_1,0.040000000000000036,0.12,0.14,0.040000000000000195,11000
30,Single Session,Close Set,won 2022,siamese,31,session_1,0.06000000000000005,0.21999999999999997,0.36,0.020000000000025508,11000
31,Single Session,Close Set,won 2022,siamese,32,session_1,0.0,0.040000000000000036,0.040000000000000036,0.001119731264496521,11000
