,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,won 2022,siamese,3,session_1,0.010000000000000009,0.030000000000000027,0.25,0.01000000000040014,11000
1,Single Session,Open Set,won 2022,siamese,7,session_1,0.040000000000000036,0.385,0.6699999999999999,0.015389375143464506,11000
2,Single Session,Open Set,won 2022,siamese,11,session_1,0.0050000000000000044,0.015000000000000013,0.08999999999999997,0.005000000000010907,11000
3,Single Session,Open Set,won 2022,siamese,15,session_1,0.0,0.04500000000000004,0.14,0.003073882972883961,11000
4,Single Session,Open Set,won 2022,siamese,19,session_1,0.015000000000000013,0.07999999999999996,0.11499999999999999,0.010384719128063217,11000
5,Single Session,Open Set,won 2022,siamese,23,session_1,0.010000000000000009,0.010000000000000009,0.015000000000000013,0.010000000000000012,11000
6,Single Session,Open Set,won 2022,siamese,31,session_1,0.0050000000000000044,0.015000000000000013,0.03500000000000003,0.004999999999999984,11000
7,Single Session,Open Set,won 2022,siamese,35,session_1,0.0,0.0,0.0,1e-05,11000
8,Single Session,Open Set,won 2022,siamese,39,session_1,0.0,0.0,0.0,1e-05,11000
9,Single Session,Open Set,won 2022,siamese,43,session_1,0.06999999999999995,0.29500000000000004,0.475,0.02615794568808072,11000
10,Single Session,Open Set,won 2022,siamese,47,session_1,0.020000000000000018,0.16500000000000004,0.755,0.014230911397716262,11000
11,Single Session,Open Set,won 2022,siamese,51,session_1,0.09999999999999998,0.30500000000000005,0.355,0.03500000000000295,11000
12,Single Session,Open Set,won 2022,siamese,54,session_1,0.0,0.09999999999999998,0.12,0.003842353716104951,11000
13,Single Session,Open Set,won 2022,siamese,55,session_1,0.20999999999999996,0.63,0.78,0.03499999999999992,11000
14,Single Session,Open Set,won 2022,siamese,2,session_1,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.01000000000009519,11000
15,Single Session,Open Set,won 2022,siamese,6,session_1,0.0,0.0,0.0,1e-05,11000
16,Single Session,Open Set,won 2022,siamese,10,session_1,0.0,0.0,0.0,1e-05,11000
